Artikelnummer;Bezeichnung;Netto;EAN
40;Knallbonbon 6er Blister;2.95 €;4014361099821
45;Knallbonbon 6er Blister,gold;2.95 €;4014361099852
130;Knallbonbon 2fach sort.;0.45 €;4014361091658
140;Knallbonbon 2fach sort.;0.50 €;4014361092006
150;Knallbonbon bunt sort.;0.48 €;4014361099050
160;Knallbonbon Schornsteinfeger;1.45 €;4014361097810
220;100-Schuß-Amorcesbänder;0.75 €;4000908002201
230;Amorces,8er Ringe im Display;1.10 €;4000908002300
240;Amorces,12er Ringe im Display;1.10 €;4000908002409
270;Streifenamorces,10 Schuss;1.05 €;4000908002706
271;Streifenamorces,10 Schuss;0.85 €;4000908002713
867;Handschellen-Set,Bl.,schwere;4.95 €;4000908008678
1205;Knallteufel,50er FS;0.32 €;4001076012054
1617;Meteorite,20er FS;0.90 €;4001076016175
1618;Blitz-Knatterbälle,9er FS;0.75 €;4001076016182
4353;Bonsai,1er Schacht.,Fontäne m.;0.36 €;4014361043534
4385;Strobe,hell flackernde Leucht-;0.58 €;4014361343856
4401;Speedy,Bodenkreisel in;0.38 €;4014361344013
4402;Nico Biene,summende Boden-;0.38 €;4014361344020
4404;Feuerringe,10er Schachtel,;0.30 €;4014361344044
4407;Wilde Hummel,summende Boden-;0.32 €;4014361344075
4410;Firebowls,Knatterbälle mit;0.35 €;4014361344105
4421;Feuerspucker,Minivulkane,4er;0.75 €;4014361044296
4760;Summer Fountains,verschiedene;3.60 €;4014361047600
4909;Gold- und Silberregen,je 4Stck;2.45 €;4001076049098
4925;Wecos Piraten Helden 115gNEM;6.95 €;4047291048317
4926;Diabolo/Young Stars;2.00 €;4001076049265
4936;Pyro Toys,ca90teil.Jugendfrei-;2.50 €;4001076049364
5314;Riesen-Glückspilz,Einzel-Ktn.;2.75 €;4047291028814
5380;Geldsack mit Spielgeld;0.90 €;4014361066229
5420;Flitterbombe groß mit bunten;3.50 €;4014361066601
5521;Knallerbsen,10er Dose;0.34 €;4014361355217
5523;Riesen-Knallteufel,40er FS;0.75 €;4014361355231
5530;Geburtstagsfontäne indoor;2.45 €;4014361055308
5545;4 Zaubersterne,groß,rauchlose;1.65 €;4014361055452
5551;Zaubersterne,groß,rauchlose;0.42 €;4014361055513
5734;Color-Traumsterne,je 2x rot,;0.90 €;4001076157342
5747;Traumsterne,rauchlose Zimmer-;0.80 €;4001076057475
5757;Eisfontäne,rauchlose Zimmer-;1.20 €;4001076057574
5900;Schampus-Party-Knaller,21erBtl;2.45 €;4047291014442
5903;Magnum-Party-Knaller,6er Btl.;3.25 €;4001076059035
6000;2 Herz- + 2 Stern-Wunderkerzen;1.35 €;4014361560963
6150;Wunderkerzen Carat,10er Btl.;0.18 €;4001076061502
6158;Wunderkerzen Polar,40er FS;1.05 €;4001076061588
6166;Midi 30 Wunderkerzen,10er FS;1.10 €;4001076061663
6170;Maxi 40 Wunderkerzen,10er FS;2.20 €;4001076061700
6340;Bengalische Fackeln,6erFS,30cm;1.70 €;4001076063407
6530;Color-Sprüher,4farbig,10er FS;0.70 €;4001076065302
8220;Tuch-Wachsfackel;1.10 €;4001076082200
8224;Tuch-Wachsfackel,2er Btl.;2.20 €;4001076082248
8230;Tuch-Wachsfackel;1.45 €;4001076082309
10001;"Wondercandle,Buchstabe ""A""";0.75 €;4260017381011
10002;"Wondercandle,Buchstabe ""B""";0.75 €;4260017381028
10003;"Wondercandle,Buchstabe ""C""";0.75 €;4260017381035
10004;"Wondercandle,Buchstabe ""D""";0.75 €;4260017381042
10005;"Wondercandle,Buchstabe ""E""";0.75 €;4260017381059
10006;"Wondercandle,Buchstabe ""F""";0.75 €;4260017381066
10007;"Wondercandle,Buchstabe ""G""";0.75 €;4260017381073
10008;"Wondercandle,Buchstabe ""H""";0.75 €;4260017381080
10009;"Wondercandle,Buchstabe ""I""";0.75 €;4260017381097
10010;"Wondercandle,Buchstabe ""J""";0.75 €;4260017381103
10011;"Wondercandle,Buchstabe ""K""";0.75 €;4260017381110
10012;"Wondercandle,Buchstabe ""L""";0.75 €;4260017381127
10013;"Wondercandle,Buchstabe ""M""";0.75 €;4260017381134
10014;"Wondercandle,Buchstabe ""N""";0.75 €;4260017381141
10015;"Wondercandle,Buchstabe ""O""";0.75 €;4260017381004
10016;"Wondercandle,Buchstabe ""P""";0.75 €;4260017381165
10017;"Wondercandle,Buchstabe ""Q""";0.75 €;4260017381172
10018;"Wondercandle,Buchstabe ""R""";0.75 €;4260017381189
