Lieferantennummer;Artikelnummer;Artikelbezeichnung;EAN-Nummer;Warengruppe;Verpackungseinheit;Rabattgruppe;Mehrwertsteuerschlüssel;Netto-/Grundnettopreis;Unverbindliche VK-Preisempfehlung
4007176;12017;WD Prinzessinnen Sort. 36 Stk;4007176120170;43;1;0;1;102.73;0
4007176;12078;WD Die Eiskönigin Sort 24 St;4007176120781;43;1;0;1;74.52;0
4007176;12104;WD Spardose Olaf;4007176121047;43;3;0;1;11.05;21.99
4007176;12128;WD Feen Sort 24 St;4007176121283;43;1;0;1;76.56;0
4007176;12167;WD Cars 3 Geschenk-Box 4 St;4007176121672;43;2;0;1;12.03;22.95
4007176;12168;WD Cars 3 Sort 24;4007176121689;43;1;0;1;69.2;0
4007176;12169;WD Cars 3 Geschenk-Set;4007176121696;43;4;0;1;5.75;10.99
4007176;12228;WD Spardose Winnie Puuh;4007176122280;43;3;0;1;8.95;17.99
4007176;12230;WD Spardose Light  McQueen;4007176122303;43;3;0;1;11.05;21.99
4007176;12253;WD Simba;4007176122532;43;6;0;1;3.19;6.99
4007176;12254;WD Junger Simba;4007176122549;43;6;0;1;2.38;4.99
4007176;12256;WD Rafiki mit Baby Simba;4007176122563;43;6;0;1;3.19;6.99
4007176;12310;WD Arielle;4007176123102;43;6;0;1;2.73;5.99
4007176;12312;WD Arielle im rosa Kleid;4007176123126;43;6;0;1;3.19;6.99
4007176;12313;WD Prinz Eric;4007176123133;43;6;0;1;2.73;5.99
4007176;12322;WD Rabbit;4007176123225;43;6;0;1;2.38;4.99
4007176;12324;WD I-Aah mit Ferkel;4007176123249;43;6;0;1;2.38;4.99
4007176;12326;WD Ferkel mit Herzen;4007176123263;43;6;0;1;2.38;4.99
4007176;12327;WD Winnie Puuh mit Schal;4007176123270;43;6;0;1;2.38;4.99
4007176;12328;WD Winnie Puuh mit Häschen;4007176123287;43;6;0;1;2.38;4.99
4007176;12340;WD Winnie Puuh mit Honigtopf;4007176123409;43;6;0;1;2.38;4.99
4007176;12342;WD Winnie Puuh mit Blumen;4007176123423;43;6;0;1;2.38;4.99
4007176;12343;WD I-Aah;4007176123430;43;6;0;1;2.38;4.99
4007176;12344;WD Ferkel;4007176123447;43;6;0;1;2.38;4.99
4007176;12345;WD Tigger;4007176123454;43;6;0;1;2.38;4.99
4007176;12354;WD Triton;4007176123546;43;6;0;1;3.19;6.99
4007176;12356;WD Eric;4007176123560;43;6;0;1;2.38;4.99
4007176;12357;WD Ursula;4007176123577;43;6;0;1;2.73;5.99
4007176;12359;WD Gute Fee;4007176123591;43;6;0;1;2.38;4.99
4007176;12376;WD Shir Khan;4007176123768;43;6;0;1;2.38;4.99
4007176;12377;WD Baghira;4007176123775;43;6;0;1;2.38;4.99
4007176;12380;WD Mogli;4007176123805;43;6;0;1;2.38;4.99
4007176;12381;WD Balu;4007176123812;43;6;0;1;2.38;4.99
4007176;12383;WD King Louie;4007176123836;43;6;0;1;2.38;4.99
4007176;12393;WD Tinkerbell;4007176123935;43;6;0;1;2.73;5.99
4007176;12394;WD Tinkerbell mit Blitz;4007176123942;43;6;0;1;2.38;4.99
4007176;12399;WD Pinocchio;4007176123997;43;6;0;1;2.73;5.99
4007176;12401;WD Belle;4007176124017;43;6;0;1;3.19;6.99
4007176;12402;WD Schneewittchen;4007176124024;43;6;0;1;2.73;5.99
4007176;12417;WD Flynn Rider;4007176124178;43;6;0;1;2.73;5.99
4007176;12420;WD Bambi;4007176124208;43;6;0;1;2.38;4.99
4007176;12421;WD Klopfer;4007176124215;43;6;0;1;2.38;4.99
4007176;12422;WD Pascal;4007176124222;43;6;0;1;2.38;4.99
4007176;12423;WD Maximus;4007176124239;43;6;0;1;3.86;7.99
4007176;12424;WD Rapunzel mit Blumen;4007176124246;43;6;0;1;3.19;6.99
4007176;12425;WD Mutter Gothel;4007176124253;43;6;0;1;2.73;5.99
4007176;12426;WD Rapunzel;4007176124260;43;6;0;1;3.19;6.99
4007176;12445;WD Susi;4007176124451;43;6;0;1;2.38;4.99
4007176;12446;WD Strolch;4007176124468;43;6;0;1;2.38;4.99
4007176;12453;WD Jasmin;4007176124536;43;6;0;1;2.38;4.99
4007176;12454;WD Aladdin;4007176124543;43;6;0;1;2.38;4.99
4007176;12463;WD Biest;4007176124635;43;3;0;1;3.86;7.99
4007176;12465;WD Prinz;4007176124659;43;6;0;1;2.73;5.99
4007176;12472;WD Dschinni;4007176124727;43;6;0;1;2.38;4.99
4007176;12474;WD Madame Pottine;4007176124741;43;6;0;1;2.38;4.99
4007176;12476;WD Zwerg Chef;4007176124765;43;6;0;1;2.38;4.99
4007176;12477;WD Zwerg Schlafmütze;4007176124772;43;6;0;1;2.38;4.99
4007176;12478;WD Zwerg Brummbär;4007176124789;43;6;0;1;2.38;4.99
