Artikelnummer;Bezeichnung;Netto;EAN
1928;Noisy Cards;2.93;4010070906160
1929;Giggles-Klappkarten;0.93;4010070906177
7518;Schutzengel Schlüsselanhänger;3.41;4010070168933
7598;Schutzengel Schlüsselanhänger mit Sternzeichen;3.41;4010070173739
3865;Archie's Musikkarten;2.54;4010070180812
3868;Hit Mix Klappkarten;2.54;4010070183424
5549;Trauerkarten;0.93;4010070189402
5567;Liebe Grüße für jeden Anlass Klappkarten;0.93;4010070193478
7823;TOPModel Alphabet Armband;2.15;4010070188399
1421;Weltbester Becher;2.93;4010070186920
6771;TOPModel Riesen-Papiertüten;0.49;4010070199685
9301;Anlass-Schilder f. Kartentruhe;0;4010070206116
5585;Designers Best Klappkarten;1.27;4010070201685
5589;Anlässe Klappkarten;0.93;4010070206161
7839;Speed Glider Creative Book;3.41;4010070205126
6827;TOPModel Notizbuch;1.27;4010070179137
5580;Soundboxen, klein 9 x 9 cm;2.93;4010070201517
5598;Zahlengeburtstagskarten;0.93;4010070211783
1428;Sortiment Weltbester Becher 1421 für ST 9240;439.5;4010070217846
6767;TOPModel Papiertüten, klein;0;4010070216283
7597;Schutzengel Alphabet Schlüsselanhänger;2.54;4010070179847
5642;Horses Dreams Buntstifte;2.54;4010070202095
5999;Doggy Love Schlüsselanhänger - Hunderassen;2.15;4010070215699
5645;Horses Dreams Brotdose;2.15;4010070202125
8154;Undercover Postkarten;0.43;4010070220549
8155;Undercover Klappkarten;0.95;4010070220556
8156;Cartolini Klappkarten;0.95;4010070220921
8157;Cartolini Medi Klappkarten;0.65;4010070221614
8160;Cartolini Medi + KlappkartenErstbestückung;442.2;4010070222338
6989;TOPModel Kugelschreiber mit Alphabet-Anhänger;2.54;4010070190422
8256;Princess Mimi´s Magical Picture Book (Rubbelbüchlein);0.91;4010070229634
6775;TOPModel Papiertragetaschen, groß;0.1;4010070203009
4775;Kinderkarten;1.07;4010070229702
5454;Horses Dreams Einladungskartenset;2.54;4010070231743
7937;TOPModel DANCE - Malbuch;4.65;4010070231972
7923;TOPModel Spielkarten Quartett;1.66;4010070232153
7470;Sugar Pie Schmuck - Bestellartikel;14.07;4010070238629
7471;Sugar Pie Haarspangen, -klemmen, -gummis & Ohrclips;0.98;4010070238636
7472;Sugar Pie Armbänder;1.07;4010070238643
7473;Sugar Pie Haarreifen, -spangen, -bänder & Kamm/Bürsten-Set;1.16;4010070238650
7474;Sugar Pie Ketten & Geschenksets;1.66;4010070238667
6182;Horses Dreams Glückssteinkette;2.93;4010070210052
8023;Klappkarten zum Valentinstag - Vier Jahreszeiten;1.07;4010070235512
8022;Klappkarten zur Hochzeit - Vier Jahreszeiten;1.27;4010070235505
8024;Klappkarten zu Ostern - Vier Jahreszeiten;1.07;4010070235529
8025;Klappkarten Schule - Vier Jahreszeiten;1.07;4010070235536
8030;Klappkarten zur Geburt + Taufe - Vier Jahreszeiten;1.07;4010070236489
6659;Create your TOPModel Doggy - Malbuch;3.71;4010070239121
7945;TOPModel Hand Designer - Malbuch;3.71;4010070239237
7938;TOPModel Neon Gelstifteset;2.15;4010070232436
7962;TOPModel Papiertragetaschen, klein;0.08;4010070240554
8303;Princess Mimi's Home, Malbuch mit Stickern;2.31;4010070240608
3003;Elegance Klappkarten;1.27;4010070242008
4907;Emotions Klappkarten;1.27;4010070242572
8301;My Style Princess Perlenbox zum Selberfädeln;4.2;4010070240585
6287;TOPModel Tattooblock;2.54;4010070243340
8027;Klappkarten zur Konfirmation - Vier Jahreszeiten;1.07;4010070235550
6748;TOPModel Portemonnaie;3.41;4010070201357
6081;Minimoomis Plüsch 20cm;5.46;4010070240998
8354;Ylvi & the Minimoomis Haargummis;1.27;4010070266998
8333;TOPModel Turnbeutel YOLO;8.29;4010070265106
