Artikelnummer;Bezeichnung;EAN;Netto
2020;Trink-Cap 1 Stk verblistert;4030596000203;1.10 €
2021BL;Trink-Cap lose - Blau;4030596004119;0.90 €
2021GE;Trink-Cap lose - Gelb;4030596004126;0.90 €
2021GR;Trink-Cap lose - Grün;4030596004133;0.90 €
2021RO;Trink-Cap lose - Rot;4030596004140;0.90 €
2021SW;Trink-Cap lose - Schwarz;4030596004157;0.90 €
2030;Verschluss 2 Stk verblistert;4030596000449;1.80 €
2031;Verschluss einzeln lose;4030596004034;0.80 €
2032;38mm Deckel 2 Stk verblistert;4030596003372;2.20 €
2033;38mm Deckel einzeln;4030596003389;0.90 €
2040;Abtropfständer;4030596000241;6.10 €
2041;Flaschenbürste;4030596000258;1.70 €
2045;Waterbelt;4030596000265;4.30 €
2050;Fahrradflaschenhalter;4030596000159;9.10 €
3110;Thermobecher 0,3l oval;4030596000012;2.80 €
3111;Thermobecher 0,3l eckig;4030596000319;2.80 €
3210;Glasflasche 0,3l oval;4030596000029;1.60 €
3211;Glasflasche 0,3l eckig;4030596000326;1.60 €
4110;Thermobecher 0,4l ;4030596001002;2.80 €
4210;Glasflasche 0,4l;4030596001019;1.70 €
4310;Weithalsflasche 0,4l;4030596002931;1.80 €
6110;Thermobecher 0,6l ;4030596001606;3.10 €
6210;Glasflasche 0,6l;4030596001613;2.00 €
7110;Thermobecher 0,75l;4030596003594;3.60 €
7210;Weithalsflasche 0,75l;4030596003051;2.30 €
8511;Thermobecher Baby-Emil 250ml;4030596003709;2.80 €
8512;Glasflasche Baby-Emil 250ml;4030596000913;2.80 €
8516;Baby-Emil-Latexsauger 2 Stk. 0-6 Monate;4030596002887;2.60 €
8517;Baby-Emil - Kappenset verblistert - weiß;4030596002894;1.50 €
8519;Baby-Emil - Kappenset verblistert - türkis;4030596005963;1.50 €
8520;Baby-Emil - Kappenset verblistert - blau;4030596005970;1.50 €
8521;Baby-Emil - Kappenset verblistert - pink;4030596005987;1.50 €
8518;Baby-Emil-Latexsauger 2 Stk. ab 6 Monate;4030596004089;2.60 €
3010.03;Birds;4030596004294;8.80 €
3010.04;Action;4030596000463;8.80 €
3010.08;Friends;4030596000760;8.80 €
3010.12;Oase;4030596002443;8.80 €
3010.18;Feuerwehr;4030596004300;8.80 €
3010.22;Pettersson & Findus;4030596004317;8.80 €
3010.34;Unicorns;4030596004324;8.80 €
3010.38;Horses;4030596004331;8.80 €
3010.53;BIO-Napoli;4030596002450;8.80 €
3010.6;BIO-Streifen;4030596000685;8.80 €
3010.63;BIO-Punkte Rot;4030596000708;8.80 €
3410.03;Birds;4030596005024;4.60 €
3410.04;Action;4030596005031;4.60 €
3410.08;Friends;4030596005048;4.60 €
3410.12;Oase;4030596005055;4.60 €
3410.18;Feuerwehr;4030596005062;4.60 €
3410.22;Pettersson & Findus;4030596005079;4.60 €
3410.34;Unicorns;4030596005086;4.60 €
3410.38;Horses;4030596005093;4.60 €
3410.53;BIO-Napoli;4030596005109;4.60 €
3410.6;BIO-Streifen;4030596005116;4.60 €
3410.63;BIO-Punkte Rot;4030596005123;4.60 €
3510.04;Action;4030596002825;11.10 €
3510.12;Oase;4030596004713;11.10 €
3510.18;Feuerwehr;4030596004720;11.10 €
3510.22;Pettersson & Findus;4030596004737;11.10 €
3510.34;Unicorns;4030596004744;11.10 €
3510.38;Horses;4030596004751;11.10 €
4010.04;Action;4030596001262;9.30 €
4010.07;Meerjungfrau;4030596004348;9.30 €
4010.12;Prinzessinen;4030596004355;9.30 €
4010.14;Reh;4030596002733;9.30 €
4010.16;Wildpferde;4030596002504;9.30 €
4010.18;Einhorn;4030596002740;9.30 €
4010.22;Space;4030596002764;9.30 €
4010.24;Hippiefanten;4030596004362;9.30 €
4010.26;Eule;4030596001910;9.30 €
4010.28;Dinosaurier;4030596004379;9.30 €
4010.29;Drachen;4030596004386;9.30 €
4010.3;Fußball;4030596002528;9.30 €
4010.31;Baustelle;4030596004393;9.30 €
4010.34;Unicorns;4030596004409;9.30 €
4010.36;Delfine;4030596001026;9.30 €
4010.38;Horses;4030596004416;9.30 €
4010.4;Panda;4030596004423;9.30 €
4010.41;Alpaka;4030596004430;9.30 €
4010.53;BIO-Napoli;4030596002566;9.30 €
4010.57;BIO-Aztek;4030596002788;9.30 €
4010.58;BIO-Mexiko;4030596002795;9.30 €
4010.6;BIO-Streifen;4030596001255;9.30 €
4010.63;BIO-Punkte Rot;4030596001118;9.30 €
4010.65;BIO-Genova;4030596002573;9.30 €
4010.66;BIO-Karo;4030596002580;9.30 €
4010.67;BIO-Stern;4030596002917;9.30 €
4010.68;BIO-Maya;4030596002924;9.30 €
4030.04;Action;4030596003723;9.30 €
4030.07;Meerjungfrau;4030596004447;9.30 €
4030.12;Prinzessinen;4030596004454;9.30 €
4030.14;Reh;4030596003778;9.30 €
4030.16;Wildpferde;4030596003792;9.30 €
4030.18;Einhorn;4030596003808;9.30 €
4030.22;Space;4030596003839;9.30 €
4030.24;Hippiefanten;4030596004461;9.30 €
4030.26;Eule;4030596003846;9.30 €
4030.28;Dinosaurier;4030596004478;9.30 €
4030.29;Drachen;4030596004485;9.30 €
4030.3;Fußball;4030596003853;9.30 €
4030.31;Baustelle;4030596004492;9.30 €
4030.34;Unicorns;4030596004508;9.30 €
4030.36;Delfine;4030596003877;9.30 €
4030.38;Horses;4030596004515;9.30 €
4030.4;Panda;4030596004522;9.30 €
4030.41;Alpaka;4030596004539;9.30 €
4030.53;BIO-Napoli;4030596003907;9.30 €
4030.57;BIO-Aztek;4030596003914;9.30 €
4030.58;BIO-Mexiko;4030596003921;9.30 €
4030.6;BIO-Streifen;4030596003938;9.30 €
4030.63;BIO-Punkte Rot;4030596003945;9.30 €
4030.65;BIO-Genova;4030596003952;9.30 €
4030.66;BIO-Karo;4030596003969;9.30 €
4030.67;BIO-Stern;4030596003976;9.30 €
4030.68;BIO-Maya;4030596003983;9.30 €
4410.04;Action;4030596005130;5.10 €
4410.07;Meerjungfrau;4030596005147;5.10 €
4410.12;Prinzessinen;4030596005154;5.10 €
4410.14;Reh;4030596005161;5.10 €
4410.16;Wildpferde;4030596005178;5.10 €
4410.18;Einhorn;4030596005185;5.10 €
4410.22;Space;4030596005192;5.10 €
4410.24;Hippiefanten;4030596005208;5.10 €
4410.26;Eule;4030596005215;5.10 €
4410.28;Dinosaurier;4030596005222;5.10 €
4410.29;Drachen;4030596005239;5.10 €
4410.3;Fußball;4030596005246;5.10 €
4410.31;Baustelle;4030596005253;5.10 €
4410.34;Unicorns;4030596005260;5.10 €
4410.36;Delfine;4030596005277;5.10 €
4410.38;Horses;4030596005284;5.10 €
4410.4;Panda;4030596005291;5.10 €
4410.41;Alpaka;4030596005307;5.10 €
4410.53;BIO-Napoli;4030596005314;5.10 €
4410.57;BIO-Aztek;4030596005321;5.10 €
4410.58;BIO-Mexiko;4030596005338;5.10 €
4410.6;BIO-Streifen;4030596005345;5.10 €
4410.63;BIO-Punkte Rot;4030596005352;5.10 €
