Artikelnummer;EAN;Bezeichnung;Netto
610;4048565006101;Kleines Herz;2.4
710;4048565007108;Großes Herz;3.1
1700;4048565017008;Regenbogen Geburtstagsring;16.5
1781;4048565017817;Geburtstagswürfel;14.8
2000;4048565020008;Kleiner Geburtstagsring Natur;7.5
2001;4048565020015;Kleiner Geburtstagsring Weiß;7.5
2010;4048565020107;Kleiner Geburtstagsring Rot;7.5
2012;4048565020121;Kleiner Geburtstagsring Rosa-Violett;7.5
2014;4048565020145;Kleiner Geburtstagsring Rosa-Rot;7.5
2022;4048565020220;Kleiner Geburtstagsring Gelb-Rot;7.5
2030;4048565020305;Kleiner Geburtstagsring Gelb;7.5
2042;4048565020428;Kleiner Geburtstagsring Grün-Orange;7.5
2052;4048565020527;Kleiner Geburtstagsring Grün-Türkis;7.5
2060;4048565020602;Kleiner Geburtstagsring Blau;7.5
2062;4048565020626;Kleiner Geburtstagsring Blau-Grün;7.5
2080;4048565020800;Kleiner Geburtstagsring Bunt;7.5
2100;4048565021005;Großer Geburtstagsring Natur;8.8
2101;4048565021012;Großer Geburtstagsring Weiß;8.8
2114;4048565021142;Großer Geburtstagsring Rosa-Rot;8.8
2162;4048565021623;Großer Geburtstagsring Blau-Grün;8.8
2180;4048565021807;Großer Geburtstagsring Bunt;8.8
2705;4048565027052;Rosa Blume;3
2830;4048565028301;Gelber Stern;3
3000;4048565030007;Jahreskreis;41.5
3010;4048565030106;Tageskreis;28.5
3050;4048565030502;Jahreszeiten Steckersortiment;19.5
3070;4048565030700;Figuren zum Zählen und Erzählen;65
3071;4048565030717;ABC Lernfiguren;41
3200;4048565032001;Geburtstagsspirale Natur;22.7
3210;4048565032100;Geburtstagsspirale Bunt;22.7
3230;4048565032308;Geburtstagsspirale Rottöne;22.7
3241;4048565032414;Geburtstagsspirale Blaugrün;22.7
3276;4048565032766;Hellgrüner Zweig;3.2
3277;4048565032773;Dunkelgrüner Zweig;3.2
3300;4048565033008;Steckfigur Fuchs;2.2
3303;4048565033039;Steckfigur Uhu;2.1
3304;4048565033046;Steckfigur Eule;2
3305;4048565033053;Steckfigur Fliegenpilz;2
3306;4048565033060;Steckfigur Traumbaum;2.1
3307;4048565033077;Steckfigur Tropfenturm;2.3
3308;4048565033084;Steckfigur Blätterhaus;2.3
3309;4048565033091;Steckfigur Rapunzelturm;2.3
3310;4048565033107;Steckfigur kleines Gespenst;2.2
3311;4048565033114;Steckfigur Fledermaus;2.2
3313;4048565033138;Steckfigur gelber Schmetterling;2.1
3314;4048565033145;Steckfigur Krone;2
3315;4048565033152;Steckfigur Eichhörnchen;2.3
3316;4048565033169;Steckfigur Schwein;2.1
3317;4048565033176;Steckfigur Regenbogen;2.6
3360;4048565033602;Steckfigur Lokomotive;1.9
3370;4048565033701;Steckfigur Anhänger Lokomotive;1.9
3390;4048565033909;Steckfigur Jonglier-Clown;1.9
3420;4048565034203;Steckfigur Birke;1.9
3430;4048565034302;Steckfigur orangener Schmetterling;1.9
3440;4048565034401;Steckfigur Biene;1.9
3460;4048565034609;Steckfigur Meerjungfrau;1.9
3470;4048565034708;Steckfigur Palme;1.9
3480;4048565034807;Steckfigur Seehund;1.9
3490;4048565034906;Steckfigur Wurm;1.9
3510;4048565035101;Steckfigur Pilz;1.9
3530;4048565035309;Steckfigur Hase;1.9
3531;4048565035316;Steckfigur pickender Vogel;1.9
3532;4048565035323;Steckfigur sitzender Vogel;1.9
3533;4048565035330;Steckfigur singender Vogel;1.9
3535;4048565035354;Steckfigur grau-lila Maus;1.9
3537;4048565035378;Steckfigur blaues Pferd;1.9
