Artikelnummer;Bezeichnung;EAN;Netto
902;Entdeckerwagen;4010168009025;102.5
949;Puppenwagen Blumen;4010168009490;79.5
950;Puppenwagen Herzen;4010168009506;79.5
985;Maus im Haus;4010168009858;6.1
987;Stoffmäuse;4010168009872;2.5
1022;Greifling Fidelia;4010168010229;5.1
1023;Knuddelquartett;4010168010236;8.25
1052;Greifling Olli;4010168010526;5.95
1068;Klapperfigur Flapsi;4010168010687;4.75
1070;Große Grundpackung;4010168010700;38.5
1071;Basisbausteine-Grundpackung;4010168010717;19.5
1076;Farbige Steine;4010168010762;20.5
1077;Basisbausteine Extra große Grundpackung;4010168010779;51.5
1089;Spiralbahn;4010168010892;12.95
1103;Mobile Zwitscherlinge;4010168011035;20.5
1121;Greifling Kringelringel;4010168011219;4.6
1128;Erstes Spielen;4010168011288;25.95
1132;Kugelbahn Kullerei;4010168011325;49.95
1136;Kugelbahn-Bausatz;4010168011363;49.95
1149;Klangtreppe;4010168011493;23.65
1172;Purzelklötze;4010168011721;33.5
1189;Erste Steine;4010168011899;16.25
1192;Erkundungssteine;4010168011929;11.25
1193;Geduldsteine;4010168011936;8.5
1196;Wichtelklötze;4010168011967;10.25
1197;Lokmock;4010168011974;19.85
1199;Brummi;4010168011998;9.75
1214;Wichteltruck;4010168012148;15.4
1218;Hängefigur Klapperwurm;4010168012186;7.5
1220;Ziehfigur Ente;4010168012209;18.5
1223;Hängefigur Maxe;4010168012230;6.95
1268;Klapperfigur Moby;4010168012681;6.95
1274;Klapperfigur Piro;4010168012742;5.95
1291;Greifling Triangel;4010168012919;3.95
1346;Tomate;4010168013466;1.1
1347;Apfel;4010168013473;1.1
1348;Birne;4010168013480;1.1
1349;Möhre;4010168013497;1.1
1350;Kirschenpaar;4010168013503;1.05
1351;Pflaume;4010168013510;1.1
1355;Schokolade;4010168013558;1.1
1356;Brot;4010168013565;1.1
1357;Käseecke;4010168013572;1.1
1364;Brötchen;4010168013640;1.1
1365;Pilz;4010168013657;1.1
1368;6 Eier im Karton;4010168013688;3.85
1373;Zwiebel;4010168013732;1.1
1374;Orange;4010168013749;1.1
1375;Weintrauben;4010168013756;3.1
1377;Eistüte mit Kugel;4010168013770;1.1
1383;Paprika;4010168013831;1.55
1384;Nudeln in der Tüte;4010168013848;2.5
1388;Milchtüte;4010168013886;1.1
1397;Kartoffel;4010168013978;1.1
1405;Bockwürstchen;4010168014050;3.2
1409;Einkaufsnetz;4010168014098;1.5
1410;Erbsen und Möhren;4010168014104;3.75
1423;Salami;4010168014234;1.1
1452;Sandwich;4010168014524;7.75
1473;Toastbrot;4010168014739;5.95
1474;Wiener Schnitzel mit Pommes frites;4010168014746;6.75
1475;Hamburger & Pommes;4010168014753;9.25
1509;Lutscher;4010168015095;1
1512;Butter;4010168015125;2.1
1515;Teebeutel-Dose;4010168015156;4.1
1528;Spiegelei;4010168015286;3.1
1624;Puppenwagen Natur;4010168016245;73.5
1625;Puppenwagen Blau/Rot;4010168016252;73.5
1646;Lauflernwagen „Klassik“;4010168016467;71.5
1903;Mikroskop;4010168019031;14.95
1911;Anhänger Schlüsselhalter;4010168019116;2.95
1920;Bumerang;4010168019208;2.75
1970;Bambini Perlen;4010168019703;6.5
1971;Bambini Perlen Blumen;4010168019710;9.75
2136;Tasche Mia;4010168021362;6.95
2141;Puppe Mali;4010168021416;19.95
2142;Puppe Matze;4010168021423;19.95
2144;Spielset Erste Schulsachen;4010168021447;5.95
2155;Bambini Perlen Fädelwurm;4010168021553;10.5
2161;Greifling Felicia;4010168021614;5.1
2176;Puppe Milla;4010168021768;19.95
2179;Handpuppe Prinzessin;4010168021799;9.15
2180;Handpuppe Kasper;4010168021805;9.15
2188;Steckspiel Farbenspaß;4010168021881;16.5
2202;Steckspiel Farbkringel;4010168022024;14.95
2213;Ringelrei;4010168022130;10.95
2215;Regenbogenturm;4010168022154;9.25
2230;Bunte Stecker, bunte Bilder;4010168022307;8.95
2297;Fantasiesteine;4010168022970;20.5
2300;Nagelspiel Poch Poch;4010168023007;10.25
2310;Nagelspiel Zack;4010168023106;16.5
2334;Bausteine Ene, mene, Zoo!;4010168023342;22.5
2356;Bausteine Zoolino;4010168023564;12.5
2369;Nagelspiel Im Einsatz;4010168023694;9.25
2380;Nagelspiel Muh & Mäh;4010168023809;14.5
2389;Sortierbox Tiere;4010168023892;16.95
2400;Hasch mich!;4010168024004;9.25
2411;Greifling Regenbogen-Ring;4010168024110;5.1
2422;Buggybuch Erste Wörter2;9783869140278;4.1
2423;Buggybuch Bauernhof2;9783869140285;3.95
2538;Fisch mich!;4010168025384;4.95
2539;Mini-Obstgarten;4010168025391;5.1
2571;Fang mich;4010168025711;5.5
2617;Kuschelpuppe Luis;4010168026176;9.25
2618;Kuschelpuppe Luisa;4010168026183;9.25
2631;Greifling Glücksbringer;4010168026312;5.1
2658;Weichpuppe Fine;4010168026589;9.25
2660;Puppenwagen mit Tasche und Nuckelflasche;4010168026602;79.5
2662;Schnullerkette Glücksbringer;4010168026626;5.5
2667;Lauflernwagen Werkel-Zwerg;4010168026671;119
2908;Teppich Wiese;4010168029085;89.95
2936;Teppich Traumland;4010168029368;85.5
2969;Hängezelt Blütenhimmel;4010168029696;99.95
2973;Teppich Blumenplanet;4010168029733;126.5
2974;Teppich Märchendrache;4010168029740;124
2994;Hängezelt Ritterzelt;4010168029948;99.95
3153;Meine erste Arche Noah;4010168031538;28.5
3223;Greifling Kasper Ringel;4010168032238;5.1
3251;Greifling Farbkreisel;4010168032511;5.75
3295;Trotzkopf Mette;4010168032955;14.95
3350;Greifling Ringel-Duo;4010168033501;4.1
3397;Bambini Perlen Obstgarten;4010168033976;7.5
3399;Melodiebausteine;4010168033990;17.5
3437;Rennauto Habaland;4010168034379;8.25
3495;Display Bausteinklemmen (bestückt mit je 1 VE (= 72 Stück).);4010168034959;0.95
3499;Geisterkugeln;4010168034997;5.6
3504;Logiksteine;4010168035048;134.5
3524;Meisterbausatz;4010168035246;94.5
3528;Murmeldose;4010168035284;3.95
3531;Kristallbausteine;4010168035314;23.5
3568;Kugelbahnmonster;4010168035680;8.95
3571;Entdeckerkugeln, 4er-Set;4010168035710;9.95
3634;Kinderwagenkette Muh & Mäh;4010168036342;11.25
3672;Stoffball Regenbogen;4010168036724;8.95
3727;Greifling Käfer Trixie;4010168037271;5.1
3728;Greifling Käfer Anton;4010168037288;5.1
3734;"Display Holzclips ""Ariella"" (je 4 Clips in 5 Motiven.)";4010168037349;1.95
3735;Mobile Blütenfalter;4010168037356;16.5
3742;Greifling Viva;4010168037424;8.95
3798;Greifling Tut-Tut;4010168037981;6.15
3807;Petits Fours, 4er Set;4010168038070;3.85
3808;Petits Fours, 9er Set;4010168038087;9.25
3811;Grillset;4010168038117;5.95
3814;"Eiswaffeln ""Venezia""";4010168038148;7.15
3821;Spielgeschirr Glückspilz;4010168038216;19.95
3822;Grillhähnchen;4010168038223;8.15
3838;Möhre;4010168038384;1.6
3839;Banane;4010168038391;2.95
3840;Stoffball Entdeckerwiese;4010168038407;9.7
3841;Einkaufsnetz Gemüse;4010168038414;9.25
3842;Einkaufsnetz Obst;4010168038421;9.25
3846;Erdbeere;4010168038469;1.1
3853;Greifling Ringela;4010168038537;5.75
3856;Greifling Magica;4010168038568;5.1
3860;Kartoffeln;4010168038605;3.95
3868;Greifling Farbenschlange;4010168038681;5.1
3871;Greifling Bimmelbahn;4010168038711;6.25
3895;Halterung für Mobile;4010168038957;9.95
3900;6 erste Puzzles – Bauernhof;4010168039008;5.1
3901;6 erste Puzzles – Baustelle;4010168039015;5.1
3902;6 erste Puzzles – Haustiere;4010168039022;5.1
3951;Schutzengel Tine;4010168039510;12.25
3971;Grundpackung Klänge;4010168039718;39.95
3994;Kinderwagenkette Dschungel-Bande;4010168039947;9.25
3999;Tasche Elfe Elfine;4010168039992;5.95
4054;Rucksack Paulina;4010168040547;13.5
4092;Rhino Hero;4010168040929;4.25
4093;Bella Blümchen;4010168040936;4.1
4094;Prinzessin Zauberfee;4010168040943;4.1
4118;Anhänger Mini-Taschenmesser;4010168041186;3.1
4132;Fernglas mit Tasche;4010168041322;11.25
4170;Obstgarten;4010168041704;18.25
4276;6 erste Puzzles – Zoo;4010168042763;5.1
4278;Mein erster Spieleschatz – Die große HABA-Spielesammlung;4010168042787;17.25
4280;Schusselhexe;4010168042800;8.95
4300;Obstgarten Bodenspiel;4010168043005;49.95
4319;Diego Drachenzahn;4010168043197;11.25
4320;Glückspiraten;4010168043203;4.65
4321;Hoppe Reiter;4010168043210;8.6
4415;Zitternix;4010168044156;7.75
4416;Monza;4010168044163;9.25
4446;Pustekuchen;4010168044460;5.65
4459;Karotten-Klau;4010168044590;5.45
4460;Obstgärtchen;4010168044606;9.5
4461;Rumpel-Ritter;4010168044613;8.4
