Artikelnummer;Bezeichnung;Netto;EAN
1015;Gürtelmesser, grün, 11 cm;0;7350000191493
1017;Gürtelmesser, blau, 9 cm;4.95;4001833095382
1018;Gürtelmesser, blau, 11 cm;4.95;7350000191189
3065;Opinel Display für Kochmesser;40;4001833048999
3070;Edge Display für 14 Brillen;80;697920003268
3071;Edge Display, für eine Brille;4;697920013175
3072;Edge E-Display, für 3 Brillen;10;697920013038
8390;Herbertz Einhandmesser Display;59.88;4001833104466
8391;Herbertz Taschenmesser Display;63.88;4001833104473
8392;Herbertz Rettungsme. Display;67.88;4001833104480
8393;Herbertz Gentlemanme. Display;111.88;4001833104497
9994;Holzdose für Taschenmesser;9.5;4001833064388
9996;Holzdose für Taschenmesser;11.95;4001833054266
11002;Wenger Signature Knife;4.5;7611640077395
17020;Buck 119 Special, 75 Years;0;4001833101007
17021;Buck 119 Special, 75 Years;0;4001833101014
17530;Ausverkauf Nr. 337710;0;4001833092190
17748;Wenger-Messer, Ranger mit Etui;0;7611640254680
17780;Wenger Gliederkette, 25 cm;0;7611640253102
17783;Wenger Gliederkette, 40 cm;2.95;7611640253096
17784;Wenger Gliederkette, 45 cm;2.95;7611640253089
19800;Frühjahrs-Angebot Nr. 580610;0;4001833101069
19801;Frühjahrs-Angebot Nr. 531113;0;4001833097812
19802;Frühjahrs-Angebot Nr. 531412;0;4001833097843
19803;Frühjahrs-Angebot Nr. 580718;0;4001833101076
19804;Frühjahrs-Angebot Nr. 531912;0;4001833098888
19805;Frühjahrs-Angebot Nr. 531509;0;4001833097850
19806;Frühjahrs-Angebot Nr. 532115;0;4001833100475
19807;Frühjahrs-Angebot Nr. 582710;0;4001833101816
19808;Frühjahrs-Angebot Nr. 582410;0;4001833101793
19809;Frühjahrs-Angebot Nr. 107600;0;4001833077296
19810;Frühjahrs-Angebot Nr. 571300;0;4001833098963
19811;Frühjahrs-Angebot Nr. 313200;0;4001833095108
19812;Frühjahrs-Angebot Nr. 300200;0;4001833087332
19813;Frühjahrs-Angebot Nr. 193000;0;13658014718
19814;Frühjahrs-Angebot Nr. 172500;0;13658151512
19815;Frühjahrs-Angebot Nr. 280011;0;33753026324
19816;Frühjahrs-Angebot Nr. 280013;0;33753044632
19817;Frühjahrs-Angebot Nr. 280211;0;33753094262
19818;Frühjahrs-Angebot Nr. 280213;0;33753025389
19819;Frühjahrs-Angebot Nr. 564311;0;33753133633
19820;Frühjahrs-Angebot Nr. 564413;0;33753133657
19821;Frühjahrs-Angebot Nr. 574010;0;33753138294
19822;Frühjahrs-Angebot Nr. 286711;0;33753025846
19823;Frühjahrs-Angebot Nr. 284715;0;33753092077
19824;Frühjahrs-Angebot Nr. 285715;0;33753026386
19825;Frühjahrs-Angebot Nr. 870210;0;33753142178
19826;Frühjahrs-Angebot Nr. 870111;0;33753142154
19827;Frühjahrs-Angebot Nr. 871011;0;33753141850
19828;Frühjahrs-Angebot Nr. 870811;0;33753141812
19829;Frühjahrs-Angebot Nr. 153807;0;13658153905
19830;Frühjahrs-Angebot Nr. 153710;0;13658153967
19831;Frühjahrs-Angebot Nr. 154512;0;13658153875
19832;Frühjahrs-Angebot Nr. 151322;0;13658155060
19833;Frühjahrs-Angebot Nr. 254023;0;4001833028175
19834;Frühjahrs-Angebot Nr. 254036;0;4001833028052
19835;Frühjahrs-Angebot Nr. 254022;0;3123840007392
19836;Frühjahrs-Angebot Nr. 254138;0;3123840011597
19837;Frühjahrs-Angebot Nr. 254304;0;3123840017469
19838;Frühjahrs-Angebot Nr. 254305;0;3123840017445
19839;Frühjahrs-Angebot Nr. 254472;0;3123840021923
19840;Frühjahrs-Angebot Nr. 254152;0;3123840013003
19841;Frühjahrs-Angebot Nr. 180410;0;6416885139805
19842;Frühjahrs-Angebot Nr. 180413;0;6416885145806
