Artikelnummer;Bezeichnung;EAN;Netto
1300098;Devisenschild sortiert;4013890231993;1,02
2019145;Karte Geburtstag Paket;4022018242193;100
2019146;Karte Geburtstag Paket;4022018242209;100
2019147;Karte Zahlengeb Paket;4022018242216;100
2019148;Karte Vermählung Paket;4022018242223;100
2019149;Karte Vermählung Paket;4022018242230;100
2019150;Karte Trauer Paket;4022018242247;100
2019151;Karte Trauer Paket;4022018242254;100
2019152;Karte versch.Anläss Paket;4022018242261;100
2019153;Weihnachten 2019;4022018245828;100
2019154;Weihnachten 2019;4022018245835;100
2019155;Geburtstag;4022018245842;100
2019156;Karte Trauer Paket;4022018245859;100
2019157;Allgemeine sortiert;4022018246665;100
5980100;Karte Geburtstag A;4014995246219;20,16
8116505;Karte Geburtstag Motiv;4014995386410;0,42
8116506;Karte Geburtstag Motiv;4014995386427;0,42
8116512;Karte Geburtstag Motiv;4014995386465;0,42
8116507;Karte Geburtstag Motiv;4014995386434;0,42
8116517;Karte Geburtstag Motiv;4014995386496;0,42
8116514;Karte Geburtstag Motiv;4014995386489;0,42
5980101;Karte Geburtstag B;4014995246226;20,16
8116500;Karte Geburtstag Motiv;4014995385772;0,42
8116491;Karte Geburtstag Motiv;4014995385703;0,42
8116491;Karte Geburtstag Motiv;4014995385703;0,42
8116493;Karte Geburtstag Motiv;4014995385710;0,42
8116511;Karte Geburtstag Motiv;4014995386458;0,42
8116499;Karte Geburtstag Motiv;4014995385765;0,42
8116504;Karte Geburtstag Motiv;4014995386403;0,42
5980102;Karte Geburtstag C;4014995246233;20,16
8116842;Karte Geburtstag Motiv;4014995736833;0,42
8116513;Karte Geburtstag Motiv;4014995386472;0,42
8116498;Karte Geburtstag Motiv;4014995385758;0,42
8116501;Karte Geburtstag Motiv;4014995385789;0,42
8116503;Karte Geburtstag Motiv;4014995385796;0,42
8116510;Karte Geburtstag Motiv;4014995386441;0,42
5980103;Karte Geburtstag D;4014995246240;20,16
8116487;Karte Geburtstag Motiv;4014995385062;0,42
8116490;Karte Geburtstag Motiv;4014995385093;0,42
8116497;Karte Geburtstag Motiv;4014995385741;0,42
8116496;Karte Geburtstag Motiv;4014995385734;0,42
8116494;Karte Geburtstag Motiv;4014995385727;0,42
8116489;Karte Geburtstag Motiv;4014995385086;0,42
5980104;Karte Hochzeit;4014995246257;20,16
8158019;Karte Hochzeit Motiv;4014995387820;0,42
8158020;Karte Hochzeit Motiv;4014995738295;0,42
8158021;Karte Hochzeit Motiv;4014995387844;0,42
8158025;Karte Hochzeit Motiv;4014995737922;0,42
8158023;Karte Hochzeit Motiv;4014995737915;0,42
8158022;Karte Hochzeit Motiv;4014995387851;0,42
5980105;Karte Allgemeine;4014995246264;20,16
8141025;Karte Allgemein Motiv;4014995736819;0,42
8141024;Karte Allgemein Motiv;4014995385048;0,42
8141023;Karte Allgemein Motiv;4014995736697;0,42
8141021;Karte Allgemein Motiv;4014995385024;0,42
8141019;Karte Allgemein Motiv;4014995736666;0,42
8141020;Karte Allgemein Motiv;4014995385017;0,42
5980106;Karte Trauer A;4014995246271;20,16
8101030;Karte Trauer Motiv;4014995737083;0,42
8101039;Karte Trauer Motiv;4014995387806;0,42
8101032;Karte Trauer Motiv;4014995387141;0,42
8102002;Karte Trauer Schrift;4014995387813;0,42
