Artikelnummer;Artikelbezeichnung;EAN;Netto
23913;Idena Faulenzer 3D           ;4002372239138;1.99
23914;Idena Faulenzer 3D           ;4002372839147;1.99
23916;Idena Faulenzer 3D           ;4002372239169;1.99
23917;Idena Faulenzer 3D           ;4002372239176;1.99
23918;Idena Faulenzer 3D           ;4002372239183;1.99
23919;Idena Faulenzer 3D           ;4002372239190;1.99
23920;Idena Faulenzer 3D           ;4002372239206;1.99
38208;Idena Folienballon           ;4002372382087;0.75
38210;Idena Folienballon           ;4002372382100;0.59
38214;Idena Kürbis Schnitzset      ;4002372382148;2.49
38215;Idena Folienballon 0 gold    ;4002372382155;1.49
38225;Idena Folienballon 0         ;4002372382254;1.49
40002;Idena Diabolo, ca. 37 cm     ;4002372012212;2.99
40019;Idena Seifenblasenschwert    ;4002372003364;1.99
40022;Idena Mega-Seifenblasen      ;4002372000042;3.99
40070;"Idena Punktball 5""           ";4002372800703;1.3
40071;"Idena Punktball 9""           ";4002372400712;1.99
40080;Idena Alu-Kescher, grün      ;4002372400804;2.99
40081;Idena Fisch-Eimer mit        ;4002372040819;5.99
40084;Idena Teleskop-Kescher       ;4002372400880;1.49
40097;Idena Boingballspiel         ;4002372400972;1.49
40098;Idena Jonglierball-Set       ;4002372400989;1.99
40462;Idena Magnet-Dart            ;4002372510565;5.49
58233;Idena Geburtstagskerzen      ;4002372582333;0.5
58247;Geburtstagskerzen            ;4002372582470;0.5
58373;Idena Geburtstagkerzen       ;4002372583736;0.69
60025;Idena Krepppapier            ;4002372256005;0.3
60037;Idena Fingermalfarben        ;4002372628000;2.19
60042;Idena Straßenmalkreide       ;4002372600525;1.25
68125;Idena Knetbox                ;4002372681258;1.49
310140;Tattoos wasserfest           ;4004182566329;0.75
326046;Korrekturroller Einweg       ;70330512061;2.34
330248;Plastik-Etikett 12mm x 4m    ;5411313912211;4.99
408081;Idena Wachsfackeln 60cm      ;4002372408817;1.49
408208;Lebenslichte 6 Stück         ;4002727110327;2.95
408210;Idena Geburtstagskerzen      ;4002372082109;0.39
408279;10 Geburtstagskerzen Blau    ;4009775310341;1.36
409342;Kabelbinder 3,6x200mm        ;4033683055261;0.89
411679;Servietten 33x33cm 20 St.    ;4103070075308;0.69
412144;3 Motivluftschlangen         ;4009775340744;1.09
412145;3 Motivluftschlangen         ;4009775340843;1.09
417583;Servietten 33x33cm 20 St.    ;4103070075834;0.99
419054;Partypopper 24cm Konfetti    ;5410764070846;1.09
419599;Einladungen Pirate's         ;5201184819685;0.99
420476;Servietten 33x33cm 20 St.    ;4103070076664;0.69
433087;Geschenkpapier 70cmx1,5m     ;7610431005234;1.5
436272;Geschenkband Colour Mix      ;4009236049001;1.09
436721;Ringelband 250m X 10mm       ;4009236512925;4.5
506167;Tintenroller Frixion Ball    ;4902505417498;1.99
506171;Tintenroller Frixion Ball    ;4902505417504;1.99
506172;Tintenroller Frixion Ball    ;4902505417511;1.99
506318;Tintenroller Frixion Ball    ;4902505322709;1.59
506319;Tintenroller Frixion Ball    ;4902505322716;1.59
506320;Tintenroller Frixion Ball    ;4902505322723;1.59
506321;Tintenroller Frixion Ball    ;4902505322730;1.59
506445;Tintenroller Frixion Ball    ;4902505391675;1.59
509007;Tintenl. Super Sheriff       ;4012700921758;1.39
509009;Tintenl. Super Pirat         ;4012700921741;1.39
509010;Tintenl. Super Pirat         ;4012700921734;1.39
510045;Dreikantradierer Grip2001    ;4005401871002;1.01
510049;Dreieckradierer Grip 2001    ;4005401871019;1.01
516072;Pen 68 10er Etui             ;4006381327329;6.3
516323;Textmarker Frixion Light     ;4902505375163;0.86
516722;Pen 68 6er Etui, Neon        ;4006381132503;3.98
516955;Textliner Grip Neon pink     ;4005401148289;1.04
516956;Textliner Grip Neon blau     ;4005401148517;1.04
516957;Textliner Grip Neon grün     ;4005401148630;1.04
516979;Textmarker Frixion Light     ;4902505375149;0.86
516980;Textmarker Frixion Light     ;4902505375132;0.86
516981;Textmarker Frixion Light     ;4902505375118;0.86
517668;Permanentmarker weiß         ;4902778916599;3.33
517669;Permanentmarker gelb         ;4902778916506;3.33
517670;Permanentmarker rot          ;4902778916476;3.33
517671;Permanentmarker blau         ;4902778916469;3.33
517672;Permanentmarker grün         ;4902778916483;3.33
517673;Permanentmarker schwarz      ;4902778916452;3.33
520042;Dreifachspitzdose            ;4005401838012;1.96
522211;Radierer Lippenstift         ;4010070189228;0.78
522339;Radierer Fußball-Set         ;4032722934499;0.62
530150;Papierstreifen 100 Stück     ;4001868129601;2.25
553049;Einladungen 5 Stück          ;4006603090741;0.69
602083;Idena Geodreieck flexible    ;4002372208301;0.49
610115;Fimo Air Basic 1Kg           ;4006608806729;3.96
610156;Chenilledraht 50cm,8mm       ;4001868778090;0.8
610268;Papierstreifen 100 Stück     ;4001868129502;2.25
610302;Bouillondraht blau           ;4001868042320;1.95
610329;Samtbordüren Spitze          ;4001868047226;3.15
610330;Bouillondraht Kupfer         ;4001868042337;1.95
610333;Bouillondraht, grün          ;4001868042368;1.95
610339;Boulliondraht, silber        ;4001868042375;1.95
610340;Bouillondraht, gold          ;4001868042382;1.95
610341;Basteldraht-Set              ;4001868043389;2.99
610668;Nylonfaden auf Spule         ;4001868042283;1.7
610669;Nylonfaden auf Spule         ;4001868042290;2
612195;Silberdraht 0,3mm x 80m      ;4001868032796;3.7
612317;Bascetta-Stern Set           ;4001868057461;2.5
612355;Organzasäckchen 8x10cm       ;7610877462325;0.23
612357;Organzasäckchen 8x10cm       ;7610877462349;0.23
612413;Wäscheklammern Holz 25 mm    ;7610877306452;1.17
612420;Rohholzkugel FSC100%         ;7610877420882;1.04
612425;Holzperlen FSC100%           ;7610877420042;1.25
612451;Holzperlen FSC100%           ;7610877420400;1.25
612453;Holzperlen FSC100%           ;7610877420448;1.25
612454;Holzperlen FSC100%           ;7610877420455;1.25
612455;Holzperlen FSC100%           ;7610877420462;1.25
612456;Holzperlen FSC100%           ;7610877420479;1.25
612457;Holzperlen FSC100%           ;7610877420486;1.25
612458;Holzperlen FSC100%           ;7610877420493;1.25
612466;Deco-Federn rot              ;7610877459110;1.07
612469;Deco-Federn türkis           ;7610877459141;1.07
612472;Deco-Federn sortiert         ;7610877459189;1.07
612498;Prickelnadel m. Holzgriff    ;7610877378695;0.66
612499;Prickelfilz                  ;7610877378701;1.03
612511;Wackelaugen  7 mm rund       ;7610877270678;1.04
612583;Holzstreut. Marienkäfer      ;7610877377254;1.17
612617;Wickeldraht 0,65 mm          ;7610877235387;0.66
612725;Holzperlen-Mix               ;7610877367217;4.95
612865;Verzierwachsstreifen         ;7610877422497;2.72
612866;Verzierwachsstreifen         ;7610877422503;2.72
612878;Perlennadeln 50mm 2 Stück    ;7610877278490;0.67
613031;Faltblätter Basics,grün      ;4001868041705;2
613037;Faltblätter Ornamental       ;4001868041767;2
613041;Faltblätter Sweet            ;4001868041798;2
615372;Faltblätter 10x10cm          ;4001868089103;1.1
615373;Faltblätter 15x15cm          ;4001868089653;2.95
615378;Faltblätter 20x20cm          ;4001868089202;1.65
617003;Krepppapier sortiert         ;4005063000802;3.75
617152;Krepppapier lichtblau        ;4005063001205;0.33
617154;Krepppapier apfelgrün        ;4005063001106;0.33
619013;Fimo Air Basic Terracotta    ;4006608806576;2.11
619031;Fimo Air Basic Haut          ;4006608806514;2.11
619048;Plastilin-Knete              ;4087205720113;1.95
619064;Idena Knete 10 Stangen       ;4002372002367;0.99
619109;Fimo Air Basic 1Kg weiß      ;4006608806668;3.96
619129;Fimo Air Natural 350g        ;4006608807603;3.11
619229;Fimo Air Basic 1kg           ;4006608806699;3.96
620032;Buntstifte Jumbo Grip        ;4005402809219;7.56
621589;Buntstifte Jumbo Grip        ;4005401109945;4.48
621605;Wachsmalstifte Stockmar      ;4019365310002;4.86
621606;Wachsmalstifte Stockmar      ;4019365320001;8.98
621609;Jaxon Ölmalkreiden 12er      ;4010894474128;3.67
621706;Farbstift Colour Grip        ;4005401124290;0.62
621711;Farbstift Colour Grip        ;4005401124566;0.62
621729;Idena Straßenmalkreide       ;4002372217297;1.49
621731;Idena Straßenmalkreide       ;4002372217310;0.49
621745;Farbstift Colour Grip        ;4005401124818;0.62
621753;Buntstifte Colour Grip       ;4005401124122;5.32
621756;Farbstift Colour Grip        ;4005401124825;0.62
621759;Farbstift Jumbo Grip         ;4005401109075;0.98
621772;Farbstift Colour Grip        ;4005401124078;0.62
621773;Farbstift Colour Grip        ;4005401124092;0.62
621786;Farbstift Colour Grip        ;4005401124436;0.62
621789;Farbstift Colour Grip        ;4005401124535;0.62
621791;Farbstift Colour Grip        ;4005401124665;0.62
621805;Bleistift Noris Ergo Soft    ;4007817153017;1.02
621806;Bleistift Noris Ergo Soft    ;4007817152003;0.5
621815;Farbstift Jumbo Grip         ;4005401109044;0.98
621822;Farbstift Jumbo Grip         ;4005401109532;0.98
622059;Deckfarbkast. MiniFriends    ;4012700723123;9.83
622199;Idena Acrylfarben Set        ;4002372221997;2.19
622305;Modul Deckfarbkasten K12     ;0;168.97
622350;KREUL eL Greco Acrylic       ;4000798282608;9.6
623096;Deckfarbkasten K12           ;4012700720252;5.48
623097;Deckfarbkasten K24           ;4012700720634;9.5
626155;Wasserbox Elefant            ;4012700808981;1.94
634186;Patafix transp. UHU 56er     ;4026700488159;2.37
634402;Washi-Tape 15mm x 10m        ;4001868053210;1.5
634403;Washi-Tape 15mm x 10m        ;4001868053272;1.5
634404;Washi-Tape 15mm x 10m        ;4001868053456;1.5
634405;Washi-Tape 15mm x 10m        ;4001868053241;1.5
634406;Washi-Tape 15mm x 10m        ;4001868053364;1.5
634407;Washi-Tape 15mm x 10m        ;4001868053449;1.5
634409;Washi-Tape 15mm x 10m        ;4001868053098;1.5
634410;Washi-Tape 15mm x 10m        ;4001868053296;1.5
634411;Washi-Tape 15mm x 10m        ;4001868053203;1.5
634413;Washi-Tape 15mm x 10m        ;4001868053333;1.5
