Artikelnummer;EAN;Bezeichnung;NETTO
A58221NP;6941057452210;"Wasserspielring ""Big Animal Ring"", 3-6 Jahre, ca. 70x60cm  - VORJAHR DESIGN";1.39 €
A58263NP;6941057452630;"Schwimmreifen ""Transparent Tube"" ab 9 Jahre, 2 Haltegriffe, Ø 97cm - VORJAHR DESIGN";2.98 €
A59222NP;6941057452227;"Schwimmring ""Swim Along"", empfohlen 3-6 Jahre, 2 fach sortiert, 77x76cm";0.98 €
I44672NP;6941057402697;3-D Bop Bags, 2 fach sortiert;3.90 €
I48674NP;6941057446745;"BallToyz ""Classic 3-Ring"" inkl. 50 Bällen Ø 6,5cm, 1-3 Jahre, 86x25cm";12.13 €
I49602NP;6941057446028;FunBallz 100 Bälle Ø 6,5cm, ab 2 Jahre, in Tasche, Material PE;10.27 €
I55601;6941057403250;"Chlorbrille ""Junior"", UV beständig, 3-8 Jahre, 3 farbig sortiert";1.09 €
I55602;6941057456027;"Chlorbrille ""Play"", UV beständig, 3-8 Jahre, 3 farbig sortiert";1.01 €
I55603;6941057456034;"Chlorbrille ""Fun"", UV beständig, 3-8 Jahre, 3 farbig sortiert";1.29 €
I55642;6941057413143;"Schnorchel-Set ""Adventurer"" (55916, 55922), ab 8 Jahre";5.60 €
I55647;6941057413181;"Schnorchel-Set ""WaveRider"" (55978, 55928) ab 8 Jahre";6.77 €
I55655;6941057413136;"Tauch-Set ""MasterClass"" (55916, 55922, 55937) ab 8 Jahre";9.03 €
I55691;6941057403328;"Chlorbrille ""PRO Racing"" 3 farbig sortiert, UV beständig, Anti-Beschlag, Latex-frei, ab 8 Jahre";4.50 €
I55915;6941057408347;"Tauchermaske ""Fun"" 3-8 Jahre, 2 fach sortiert";3.63 €
I55922;6941057404837;"Schnorchel ""Hi-Flow"", Latex-frei, 3-10 Jahre, 2 farbig sortiert";1.39 €
I55928;6941057403397;"Schnorchel ""Easy-Flo"", 3 Farben, Latex-frei, Mundstück- thermoplastischem Gummi, Wasserstopp, ab 8 Jahren";3.09 €
I55944;6941057408330;"Schnorchel-Set """"Shark"" (55915, 55922), 3-8 Jahre";5.36 €
I55977;6941057413167;"Tauchermaske ""ReefRider"", 2-farbig sort., ab 14 Jahre";3.94 €
I55978;6941057413174;"Tauchermaske ""WaveRider"" 2-farbig sort., ab 8 Jahre";3.82 €
I56263NP;6941057407517;Schwimmreifen Sprinkle Donut Tube, ab 9 Jahre, 114cm;3.98 €
I56268NP;6941057456263;"Schwimmreifen ""MonsterTruck"" mit 2 Handgriffen, 114cm";4.38 €
I56274NP;6941057414188;"Schwimmreifen ""transparent Glitter"", ab 9 Jahre, 119cm";8.52 €
I56283EU;6941057403601;"Badeinsel ""Watermelon Island"" mit Halteleine, 183x23cm";15.98 €
I56288EU;6941057403588;"Badeinsel ""Mega Flamingo Island"" mit 2 Haltegriffe, 218x211x136cm";28.25 €
I56441NP;6941057454412;"Pool 4-Ring ""Sunset-Glow"", Wasserbedarf ca. 780 l, Ablassventil, 168x46cm";10.60 €
I56451NP;6941057454511;"SnapSet Pool ""Palm Trees"", Wasserbedarf ca. 443 l, 152x25cm";7.30 €
I56452NP;6941057454528;"SnapSet Pool ""Ocean Play"", Wasserbedarf ca. 958 l, 183x38cm";10.58 €
I56483NP;6941057454832;"Swimcenter ""Family Pool uni transparent"", Wasserbedarf ca. 770 l, Ablassventil, 262x175x56cm";23.15 €
I56514NP;6941057413051;Princess Carriage, ab 3 Jahre, 145x135x104cm;44.08 €
I56588EU;6941057455884;"Babysicherheitsring ""Baby Float"" (4 Kammern), bis 15 Kg,  1-2 Jahre";5.04 €
I57100NP;6941057451008;"BabyPool ""Play Box"", 2 farbig sort., Wasserbedarf ca. 57 l, aufblasbarer Boden, 1-3 Jahre, 85x85x23cm";5.98 €
I57103NP;6941057417301;"MiniPool ""Glitter"", 1-3 Jahre";8.35 €
I57106NP;6941057403090;"BabyPool ""Beach Bubbles"", Wasserbedarf ca. 33 l, 3-Ringe, 1-3 Jahre, 61x22cm";3.92 €
I57114NP;6941057401058;"BabyPool ""Mushroom"" mit Sonnenschutz, Wasserbedarf ca 45l, aufblasbarer Boden, 1-3 Jahre, 102x89cm";9.37 €
I57141NP;6941057413099;"BabyPool ""RainbowCloud"", 1-3 Jahre, 142x119x84cm";10.12 €
I57165NP;6941057417875;"Playcenter ""Gator"" ab 2 Jahre";30.87 €
I57181NP;6941057401072;"Swimcenter ""Mandarin"", Wasserbedarf ca 600l, Ablassventil, ab 3 Jahre, 229x147x46cm";20.60 €
I57254EU;6941057407487;"Island ""Cool Guy"", 173x27cm";19.18 €
I57257EU;6941057414195;"Badeinsel ""pink Muschelschale"" 178x165x24cm";31.29 €
I57281EU;6941057407463;"Island ""Mega Unicorn"", 287x193x165cm";27.76 €
I57403NP;6941057454030;Babypool Rectangular, Wasserbedarf 90l,  ab 2 Jahre;9.27 €
I57412NP;6941057457413;"Pool ""Sunset Glow"", Wasserbedarf ca 131l, aufblasbarer Boden, 3- Ringe, ab 2 Jahre, 114x25cm";5.52 €
