Artikelnummer;Bezeichnung;EAN;NETTO
700330;Metallic Aqua Make-up, 20 Stk. Display;4002299003300;43.8
700335;Body Glitter Painting, 20 Stk., Display;4002299003355;50
700340;Body Glitter Painting silber;4002299003409;2.5
700341;Body Glitter Painting gold;4002299003416;2.5
700344;Body Glitter Painting weiß-irisierend;4002299003447;2.5
700346;Body Glitter Painting gelb-irisierend;4002299003461;2.5
700354;Body Glitter Painting kupfer;4002299003546;2.5
700360;Metallic Aqua Make-up silber;4002299003607;2.19
700361;Metallic Aqua Make-up gold;4002299003614;2.19
700362;Metallic Aqua Make-up bronze;4002299003621;2.19
700363;Metallic Aqua Make-up lilac;4002299003638;2.19
700500;Rolling Stick, 24 Stk., Display;4002299005007;40.32
700541;Rolling Stick violett;4002299005410;1.68
700545;Rolling Stick blau;4002299005458;1.68
700550;Rolling Stick silber;4002299005502;1.68
700551;Rolling Stick gold;4002299005519;1.68
700556;Rolling Stick bunt;4002299005564;1.68
700557;Rolling Stick regenbogen;4002299005571;1.68
704011;Köln Sticker Alaaf;4002299040114;2.98
704012;Köln Sticker Dom;4002299040121;2.98
704014;Fussball Sticker 1. FC Köln;4002299040145;2.98
704050;Horror Tattoos;4002299040503;0.63
704051;Scary Tattoos;4002299040510;0.63
704052;Halloween Tattoos;4002299040527;0.63
704061;Fan Tattoo;4002299040619;0.63
704070;Aquarell Tattoos Kinder;4002299040701;2
704071;Aquarell Tattoos Erwachsene;4002299040718;2
704080;Metallic Tattoos Eternity;4002299040800;2
704081;Metallic Tattoos Dream;4002299040817;2
704090;Lace Tattoo Totenkopf;4002299040909;2.39
704091;Lace Tattoo Fledermaus;4002299040916;2.39
706100;Color Spray, 30 Stk., Display;4002299061003;45
706101;Color Spray pink;4002299061010;1.5
706102;Color Spray rot;4002299061027;1.5
706103;Color Spray schwarz;4002299061034;1.5
706104;Color Spray weiß;4002299061041;1.5
706105;Color Spray blau;4002299061058;1.5
706106;Color Spray gelb;4002299061065;1.5
706107;Color Spray grün;4002299061072;1.5
706109;Color Spray orange;4002299061096;1.5
706110;Color Spray silber;4002299061102;1.5
706111;Color Spray gold;4002299061119;1.5
706112;Color Spray grau;4002299061126;1.5
706240;Glitter Spray, 30 Stk., Display;4002299062406;45
706242;Glitter Spray rot;4002299062420;1.5
706245;Glitter Spray blau;4002299062451;1.5
706247;Glitter Spray grün;4002299062475;1.5
706250;Glitter Spray silber;4002299062505;1.5
706251;Glitter Spray gold;4002299062512;1.5
706256;Glitter Spray bunt;4002299062567;1.5
706300;Pastell Spray, 20 Stk., Display;4002299063007;30
706301;Pastell Spray rose;4002299063014;1.5
706305;Pastell Spray blau;4002299063052;1.5
706307;Pastell Spray grün;4002299063076;1.5
706308;Pastell Spray violett;4002299063083;1.5
706400;Luftschlangen-Spray, 20 Stk., Display;4002299064004;47.6
706402;Luftschlangen-Spray rot;4002299064028;2.38
706405;Luftschlangen-Spray blau;4002299064059;2.38
706406;Luftschlangen-Spray gelb;4002299064066;2.38
706407;Luftschlangen-Spray grün;4002299064073;2.38
706600;Neon Spray, 20 Stk., Display;4002299066008;32
706601;Neon Spray 125ml pink;4002299066015;1.6
706602;Neon Spray 125ml rot;4002299066022;1.6
706606;Neon Spray 125ml gelb;4002299066060;1.6
706608;Neon Spray 125ml violett;4002299066084;1.6
706700;Body Glitterspray, 20 Stk., Display;4002299067005;54.8
706750;Glitter Bodyspray 100ml, silber;4002299067500;2.74
706751;Glitter Bodyspray 100ml, gold;4002299067517;2.74
706757;Glitter Bodyspray 100ml, regenbogen;4002299067579;2.74
707100;Fan Maker schwarz-rot-gelb;4002299071002;1.85
707116;6 Schminkstifte m. Spitzer;4002299071163;1.9
707117;6 Schminkstifte Regenbogen m. Spitzer;4002299071170;1.9
707218;5 Schminkstifte m. Spitzer;4002299072184;1.7
707618;Pastellstifte mit Spitzer;4002299076182;1.7
707718;8 Schminkstifte m. Abschminke;4002299077189;2.92
707821;Schmink-Set Indianer;4002299078216;2.46
707822;Schmink-Set Cowboy;4002299078223;2.46
707826;Schmink-Set Clown;4002299078261;2.46
707827;Schmink-Set Vampir;4002299078278;2.46
707828;Schmink-Set Black&White;4002299078285;2.46
707832;Schmink-Set Kätzchen;4002299078322;2.46
707833;Schmink-Set Mäuschen;4002299078339;2.46
707834;Schmink-Set Prinzessin;4002299078346;2.46
707837;Schmink-Set Biene;4002299078377;2.46
707840;Schmink-Set Teufel;4002299078407;2.46
707918;12 Schminkstifte;4002299079183;3.13
708118;Super Maler;4002299081186;2.06
708150;Glitter Lipstick gold;4002299081506;1.95
708151;Glitter Lipstick silber;4002299081513;1.95
708200;Lipstick Matt, 20 Stk., Display;4002299082008;39
708201;Matt Lipstick pink;4002299082015;1.95
708205;Matt Lipstick blau;4002299082053;1.95
708206;Matt Lipstick gelb;4002299082060;1.95
708207;Matt Lipstick grün;4002299082077;1.95
708208;Matt Lipstick violett;4002299082084;1.95
708415;Abschminke;4002299084156;1.33
708501;Kunstblut Kanister 500ml;4002299085016;6.14
708502;Theater Blut;4002299085023;1.15
708503;Zahnschwarz;4002299085030;1.47
708505;Blutspray 100ml;4002299085054;2.44
708510;Zombie Bodyspray 125ml;4002299085108;2.95
708511;Zahngold;4002299085115;1.47
708600;Neon Glow Blacklight Make-up, 20 Stk., Display;4002299086006;32.4
708601;Neon Glow Blacklight Make-up pink;4002299086013;1.62
708605;Neon Glow Blacklight Make-up blau;4002299086051;1.62
708606;Neon Glow Blacklight Make-up gelb;4002299086068;1.62
708608;Neon Glow Blacklight Make-up rosa;4002299086082;1.62
708609;Neon Glow Blacklight Make-up orange;4002299086099;1.62
708720;Aqua Easy Cup, 20 Stk., Display;4002299087201;31.8
708725;Aqua Easy Cup weiß, 20 Stk., Display;4002299087256;31.8
708740;Pocket Colors;4002299087409;0.56
708752;Aqua Make-up rot;4002299087522;1.73
708753;Aqua Make-up schwarz;4002299087539;1.73
708754;Aqua Make-up weiß;4002299087546;1.73
708755;Aqua Make-up blau;4002299087553;1.73
708756;Aqua Make-up gelb;4002299087560;1.73
708757;Aqua Make-up grün;4002299087577;1.73
708762;Aqua Make-up braun;4002299087621;1.73
708770;Theater Schminkpalette;4002299087706;4.49
708772;Aqua Easy Cup rot;4002299087720;1.59
708773;Aqua Easy Cup schwarz;4002299087737;1.59
708774;Aqua Easy Cup weiß;4002299087744;1.59
708775;Aqua Easy Cup blau;4002299087751;1.59
708776;Aqua Easy Cup gelb;4002299087768;1.59
708777;Aqua Easy Cup grün;4002299087775;1.59
708778;Aqua Easy Cup braun;4002299087782;1.59
708797;Aqua Easy Pen Box Regenbogen;4002299087973;4.35
708798;Aqua Easy Pen Box;4002299087980;4.35
708799;Aqua Easy Creative Set;4002299087997;4.99
708832;Aqua Easy Liner rot;4002299088321;1.05
708833;Aqua Easy Liner schwarz;4002299088338;1.05
708834;Aqua Easy Liner weiß;4002299088345;1.05
708835;Aqua Easy Liner blau;4002299088352;1.05
708836;Aqua Easy Liner gelb;4002299088369;1.05
708837;Aqua Easy Liner grün;4002299088376;1.05
708900;Glitter/Matt Lipstick, 20 Stk., Display;4002299089007;39
708901;Matt Lipstick rot;4002299089014;1.95
708903;Matt Lipstick schwarz;4002299089038;1.95
709001;Theaterschminke rosa;4002299090010;1.66
709002;Theaterschminke rot;4002299090027;1.66
709003;Theaterschminke schwarz;4002299090034;1.66
709004;Theaterschminke weiß;4002299090041;1.66
709005;Theaterschminke blau;4002299090058;1.66
709006;Theaterschminke gelb;4002299090065;1.66
709007;Theaterschminke grün;4002299090072;1.66
709009;Theaterschminke orange;4002299090096;1.66
709010;Theaterschminke silber;4002299090102;1.66
709011;Theaterschminke gold;4002299090119;1.66
709013;Theaterschminke braun;4002299090133;1.66
709014;Theaterschminke teint-hell;4002299090140;1.66
709021;Theaterschminke Indianer rot;4002299090218;1.66
709204;Clown Weiß;4002299092045;1.66
709511;Hair Flash Haargel pink;4002299095114;1.33
709512;Hair Flash Haargel rot;4002299095121;1.33
709514;Hair Flash Haargel weiß;4002299095145;1.33
709515;Hair Flash Haargel blau;4002299095152;1.33
709517;Hair Flash Haargel gelb;4002299095176;1.33
709650;Cracked Skin weiß;4002299096500;1.93
709710;Basic-Set Clown;4002299097101;2.3
709720;Basic-Set Vampir;4002299097200;2.3
709730;Basic-Set Zombie;4002299097309;2.3
709740;Basic-Set Prinzessin;4002299097408;2.3
709820;Crazy Faces Schminkset;4002299098207;4.81
710200;Glitterpowder, 15 Stk., Display;4002299102003;29.55
710250;Glitter Powder silber ;4002299102508;1.97
710251;Glitter Powder gold ;4002299102515;1.97
710252;Glitter Powder pearl;4002299102522;1.97
710253;Glitter Powder rose pink;4002299102539;1.97
