Artikelnummer;EAN;Bezeichnung;Netto
2071;4026477020712;Kindergarten-Rucksack Feuerwehr Benny Brandmeister;9.95
2076;4026477020767;Kindergarten-Rucksack Prinzessin;8.95
2150;4026477021504;Ausmaltasche Mädchen;8.95
2151;4026477021511;Ausmaltasche Junge;8.95
2205;4026477022051;Kindergarten-Tasche Fußballer Fritz Flanke;7.95
2209;4026477022099;Reise-/Sporttasche Fußballer Fritz Flanke;22.5
2211;4026477022112;Kulturtasche Fußballer Fritz Flanke;9.95
2213;4026477022136;Turnbeutel Fußballer Fritz Flanke;10.95
2221;4026477022211;Trolley Fußballer Fritz Flanke;28.95
2501;4026477025014;Rucksack Hexe Violetta;12.45
2506;4026477025069;Kindergartentornister Hexe Violetta;10.95
2519;4026477025199;Geldbörse Hexe Violetta;2.75
2523;4026477025236;Faulenzer Hexe Violetta;3.6
2619;4026477026196;Geldbörse Lotte;2.75
2622;4026477026226;Shopper Lotte;9.95
2623;4026477026233;Faulenzer Lotte;3.6
2701;4026477027018;Rucksack Pit Planke;14.95
2705;4026477027056;Kindergarten-Tasche Pit Planke;14.95
2706;4026477027063;Kindergartentornister Pit Planke;17.45
2709;4026477027094;Reise-/Sporttasche Pit Planke;22.45
2711;4026477027117;Kulturtasche Pit Planke;8.95
2713;4026477027131;Turnbeutel Pit Planke;8.95
2719;4026477027193;Geldbörse Pit Planke;2.95
2801;4026477028015;Rucksack Mein Ponyhof;14.95
2805;4026477028053;Kindergarten-Tasche Mein Ponyhof;14.95
2806;4026477028060;Kindergartentornister Mein Ponyhof;17.45
2809;4026477028091;Reise-/Sporttasche Mein Ponyhof;22.45
2811;4026477028114;Kulturtasche Mein Ponyhof;8.95
2813;4026477028138;Turnbeutel Mein Ponyhof;8.95
2819;4026477028190;Geldbörse Mein Ponyhof;2.95
3003;4026477030032;Schatzkiste, klein;6.45
3004;4026477030049;TapirElla Schatzkiste, groß;8.95
10000;4026477100001;Tapirella Partytüten aus Papier Butterflies;1.95
10002;4026477100025;Partytüten aus Papier, Prinzessin Miabella;1.95
10003;4026477100032;Partytüten aus Papier, Mein Ponyhof;1.95
10004;4026477100049;Partytüten aus Papier, Feuerwehr Benny Brandmeister;1.95
10005;4026477100056;Partytüten aus Papier, Fritz Flanke;1.95
10006;4026477100063;Partytüten aus Papier, Pit Planke;1.95
10007;4026477100070;TapirElla Partytüten aus Papier Lunabelle, Einhorn;1.95
10009;4026477100094;Partytüten aus Papier, Einhorn;1.95
10010;4026477100100;Partytüten aus Papier, Arche Noah;1.95
10011;4026477100117;Tapirella Partytüten aus Papier Ballerina;1.95
10012;4026477100124;Tapirella Partytüten aus Papier Prinzessin Floralie;1.95
10013;4026477100131;TapirElla Partytüten aus Papier Rakete;1.95
10014;4026477100148;Partytüten aus Papier, Bagger;1.95
10015;4026477100155;TapirElla Partytüten aus Papier Pferde;1.95
10016;4026477100162;TapirElla Partytüten aus Papier T-Rex;1.95
10017;4026477100179;TapirElla Partytüten aus Papier Pferde 2;1.95
10104;4026477101046;Partytüten Piratenflagge Jolly Roger;0.95
10108;4026477101084;Partytüten Prinzessin Miabella;0.95
10109;4026477101091;Partytüten Wichtel Tommi Tüpfel;0.95
10113;4026477101138;Partytüten Feuerwehr Benny Brandmeister;0.95
10115;4026477101152;Partytüten Süße Tierchen;0.95
10116;4026477101169;Partytüten Pirat Pit Planke;0.95
10117;4026477101176;Partytüten Party Kids;0.95
