Artikelnummer;Bezeichnung;Netto;EAN
F014500;GIOTTO Decor Metal BL02 gold + silber aufhängbar;1,880.00;8000825014505
F026100;GIOTTO Malzubehör Pinsel 577 Pennellotti, 3er Blister, (Gr. 0,2,4);1,070.00;8000825026102
F026200;GIOTTO Malzubehör Pinsel 577 Pennellotti, 3er Blister, (Gr. 6,8,10);1,070.00;8000825026201
F027100;GIOTTO Malzubehör Pinsel 400 Pennellotti, 3er Blister, (Gr. 3,4,5);1,720.00;8000825027109
F027200;GIOTTO Malzubehör Pinsel 400 Pennellotti, 2er Blister;1,290.00;8000825027208
F065000;GIOTTO Extra Fine, Kunststoffetui, 5 x 21 ml, farbig sortiert, EURO;2,900.00;8000825314001
F067700;"DAS Zubehör, ""My Professional set"", 4 Stück im Polybeutel";3,980.00;8000144043255
F068800;"DAS Zubehör, ""My Photo Accessories"", 4 Stück im Polybeutel";2,220.00;8000144068807
F071900;GIOTTO Turbo Color K12 aufhängbar;1,320.00;8000825020131
F072400;GIOTTO Turbo Color K24 aufhängbar;2,640.00;8000825020490
F072600;GIOTTO Turbo Color K36 aufhängbar;3,960.00;8000825020407
F076400;GIOTTO Turbo Maxi K12 aufhängbar;2,480.00;8000825020469
F076500;GIOTTO Turbo Maxi K18 aufhängbar;3,720.00;8000825020438
F099300;GIOTTO Klebestift 10 g BL03 aufhängbar;1,610.00;8000825968969
L163301;DIXON China Marker V12 weiß;580;8000825163326
L163302;DIXON China Marker V12 purpurrot;580;8000825163364
L163303;DIXON China Marker V12 blau;580;8000825163388
L163305;DIXON China Marker V12 gelb;580;8000825163340
L163307;DIXON China Marker V12 schwarz;580;8000825163302
L163318;DIXON China Marker V12 grün;580;8000825163401
F220600;GIOTTO Mega tri Farbstift K12 aufhängbar;3,850.00;8000825220609
F220800;GIOTTO Mega tri Farbstift E144;42,650.00;8000825220807
F221500;GIOTTO Elios Giant Woodfree Farbstift K12 aufhängbar;2,860.00;8000825012334
F225400;GIOTTO Mega hex Farbstift K08 aufhängbar;2,660.00;8000825225413
F225600;GIOTTO Mega hex Farbstift K12 aufhängbar;3,850.00;8000825225109
F232700;GIOTTO Mini Neon Radierer, 120 Stück in Kunststoffdose;150;8000825027338
F232900;GIOTTO Neon Spitzer, 120 Stück in Kunststoffdose;150;8000825027390
F233000;GIOTTO Anspitzer, 3 Lochstärken, 24 Stück im Display, farbig sortiert;1,870.00;8000825233005
F233200;GIOTTO Matita, Bleistift mit Radierer, farbig lackiert, HB, 12er Faltschachtel;270;8000825002410
F233300;GIOTTO Gomma Radierer, 48 Stück im Display, farbig sortiert;500;8000825002472
F233800;GIOTTO Happy Gomma Radierer, 40 Stück im Display;575;8000825020698
F233900;GIOTTO Mini Pastell Radierer, 120 Stück in Kunststoffdose;150;8000825027369
F255700;GIOTTO Stilnovo ACQUARELL K12 aufhängbar;2,500.00;8000825255700
F255800;GIOTTO Stilnovo ACQUARELL K24 aufhängbar;5,000.00;8000825255809
F25610100;GIOTTO Stilnovo, weiß;230;8000825025563
F25610300;GIOTTO Stilnovo, gelb;230;8000825025549
F25610700;GIOTTO Stilnovo, pink;230;8000825025501
F25611100;GIOTTO Stilnovo, orange;230;8000825025488
F25611200;GIOTTO Stilnovo, rot;230;8000825026027
F25611400;GIOTTO Stilnovo, magenta;230;8000825026003
F25611800;GIOTTO Stilnovo, grün;230;8000825025983
F25611900;GIOTTO Stilnovo, smaragdgrün;230;8000825025969
F25612200;GIOTTO Stilnovo, himmelblau;230;8000825025945
F25612500;GIOTTO Stilnovo, ultramarinblau;230;8000825025921
F25612700;GIOTTO Stilnovo, violett;230;8000825025907
F25613200;GIOTTO Stilnovo, braun;230;8000825025860
F25613600;GIOTTO Stilnovo, schwarz;230;8000825025808
F256200;GIOTTO Stilnovo Aquarell, 12er Metalletui;5,300.00;8000825256202
F256300;GIOTTO Stilnovo Aquarell, 24er Metalletui;9,900.00;8000825256301
F256400;GIOTTO Stilnovo Aquarell, 36er Metalletui;13,810.00;8000825256400
F256500;GIOTTO Stilnovo K12 aufhängbar;1,830.00;8000825256509
F256600;GIOTTO Stilnovo K24 aufhängbar;3,660.00;8000825256608
F256700;GIOTTO Stilnovo K36 aufhängbar;5,490.00;8000825256707
F256800;GIOTTO Stilnovo Erasable, radierbarer Buntstift, 10er Kartonetui;3,270.00;8000825256776
F256900;GIOTTO Stilnovo K12 Bicolor aufhängbar;2,740.00;8000825256516
F257000;GIOTTO Stilnovo tri K12 aufhängbar;2,000.00;8000825004650
F257100;GIOTTO Stilnovo tri K24 aufhängbar;4,000.00;8000825004681
F257200;GIOTTO Stilnovo BICOLOR K18 aufhängbar;4,110.00;8000825004551
F257300;GIOTTO Stilnovo K50 Box;13,400.00;8000825018145
F257400;GIOTTO Stilnovo Skin Tones Farbstift K12 aufhängbar;3,370.00;8000825012389
F275800;GIOTTO Elios Woodfree TRI Farbstift K12 aufhängbar;970;8000825275807
F275900;GIOTTO Elios Woodfree TRI Farbstift K24 aufhängbar;1,950.00;8000825004513
F276000;GIOTTO Elios Woodfree Farbstift K6;560;8000825010897
F276600;GIOTTO Colors 3.0 Farbstift K12 aufhängbar;1,380.00;8000825009907
