Artikelnummer;EAN;Bezeichnung;VE;Netto
2124;9783897772120;black stories 1;5.58;5.58
2701;9783897772700;black stories 2;5.58;5.58
3050;4033477030504;Expedition Natur Looky Periskop ;47.28;3.94
3156;4033477031563;Die schönsten Hüpfspiele;6.5;6.5
3157;4033477031570;Gummitwist-Set ;7.02;7.02
3158;4033477031587;Spiele-Klassiker Die schönsten Murmelspiele ;6.5;6.5
3159;4033477031594;Spiele-Klassiker Strickliesel;9.19;9.19
4003;4033477040039;Das große Knetset von Rony Oren;14.7;2.45
4006;4033477040060;Die Knotenbox;8.1;8.1
4014;4033477040145;Die große Box der Knoten-Klassiker;7.02;7.02
4029;4033477040299;Streichholzrätsel;4.85;4.85
8020;4033477080202;Expedition Natur Becherlupe ;23.16;1.93
8024;4033477080240;Expedition Natur Forscherlupe ;34.8;2.9
8035;4033477080356;Expedition Natur 3-Wege Becherlupe ;26.64;4.44
8062;4033477080622;Expedition Natur Maxi-Becherlupe ;20.34;3.39
9454;4033477094544;Detektiv Geheimcodestift;21.96;1.83
9598;4033477095985;Trumpf-Quartett Gefährliche Pflanzen;11.6;2.9
9599;4033477095992;Trumpf-Quartett Meerestiere;11.6;2.9
9610;4033477096104;Expedition Natur Profi-Kompass ;17.97;5.99
9618;4033477096180;Expedition Natur Stethoskop ;22.44;3.74
9622;4033477096227;Expedition Natur Mikroskop ;25.24;6.31
9624;4033477096241;Expedition Natur Dynamo-Taschenlampe ;25.74;4.29
9625;4033477096258;Expedition Natur Metall-Detektor;14.85;14.85
9628;4033477096289;Expedition Natur Outdoor-Messer;28.68;9.56
9629;4033477096296;Expedition Natur LED Kopflampe ;23.7;3.95
9636;4033477096364;Expedition Natur Becherlupe Basic;20.52;1.71
9654;4033477096548;Expedition Natur Fernglas;33.6;8.4
9660;4033477096609;Expedition Natur Taschenlampe Power - LED;54.24;3.39
9662;4033477096623;Expedition Natur Becherlupe mit Band;28.92;2.41
9671;4033477096715;Expedition Natur Trumpf-Quartett Vögel;11.6;2.9
9672;4033477096722;Expedition Natur Trumpf-Quartett Waldtiere;11.6;2.9
9673;4033477096739;Expedition Natur Trumpf-Quartett Tier-Rekorde;11.6;2.9
9674;4033477096746;Expedition Natur Trumpf-Quartett Minimonster;11.6;2.9
9679;4033477096791;Expedition Natur Trumpf-Quartett Gefährliche Tiere;11.6;2.9
9686;4033477096869;Expedition Natur Trumpf-Quartett Haustiere;11.6;2.9
9692;4033477096920;Expedition Natur Taschenmesser ;22.86;3.81
9697;4033477096975;Expedition Natur Teleskop ;13.62;13.62
9698;4033477096982;Expedition Natur Lupe mit Licht ;19.08;4.77
9712;4033477097125;Expedition Natur Karabiner-Becher ;26.16;4.36
9713;4033477097132;Expedition Natur Multifunktionales Taschenmesser ;29.1;4.85
9715;4033477097156;Expedition Natur 50 heimische Vögel ;4.09;4.09
9716;4033477097163;Expedition Natur 50 heimische Bäume;4.09;4.09
9717;4033477097170;Expedition Natur 50 heimische Blumen;4.09;4.09
9721;4033477097217;Expedition Natur Besteck-Set  ;28.62;4.77
9722;4033477097224;Expedition Natur 50 heimische Schmetterlinge;4.09;4.09
9723;4033477097231;Expedition Natur 50 heimische Insekten & Spinnen ;4.09;4.09
9724;4033477097248;Expedition Natur 50 Tierspuren;4.09;4.09
9725;4033477097255;Expedition Natur LED-Armband ;34.8;2.9
9733;4033477097330;Expedition Natur Schrittzähler  ;19.4;4.85
9734;4033477097347;Expedition Natur Survival-Armband ;34.8;2.9
9738;4033477097385;Expedition Natur Profi-Taschenfernglas  ;33.57;11.19
9739;4033477097392;Expedition Natur 50 heimische Wald- & Wildtiere;4.09;4.09
9740;4033477097408;Expedition Natur 50 Sternbilder & Planeten;4.09;4.09
9744;4033477097446;Expedition Natur 50 Pferde & Ponys;4.09;4.09
9745;4033477097453;Expedition Natur 50 heimische Strandtiere & Pflanzen;4.09;4.09
9748;4033477097484;Expedition Natur Outdoor-Handschuhe;24.36;6.09
9758;4033477097583;Expedition Natur Taschenlampe mit Karabiner;36.64;2.29
