Artikelnummer;Bezeichnung;EAN;Netto
116018;Baby Erdbeere;4003417160189;9.62
116031;Fee;4003417605444;12.46
116031;Fee;4003417605451;12.46
116031;Fee;4003417605468;12.46
116031;Fee;4003417605475;12.46
116034;Affe;4003417604409;15
116034;Affe;4003417604416;15
116034;Affe;4003417604423;15
116034;Affe;4003417604430;15
116034;Affe;4003417567612;15
116072;Spinnen-Hexe;4003417625039;12.46
116072;Spinnen-Hexe;4003417625046;12.46
116072;Spinnen-Hexe;4003417625053;12.46
116072;Spinnen-Hexe;4003417625060;12.46
116072;Spinnen-Hexe;4003417625077;12.46
116077;Kleine Fee;4003417625718;9.95
116077;Kleine Fee;4003417625725;9.95
116077;Kleine Fee;4003417625732;9.95
116077;Kleine Fee;4003417625749;9.95
116080;Piratin;4003417625138;16.34
116080;Piratin;4003417625145;16.34
116080;Piratin;4003417625152;16.34
116080;Piratin;4003417625169;16.34
116080;Piratin;4003417625176;16.34
116097;Marienkäfer-Cape;4003417629501;2.66
116097;Marienkäfer-Cape;4003417628023;2.66
116097;Marienkäfer-Cape;4003417628030;2.66
116097;Marienkäfer-Cape;4003417628047;2.66
116098;Bienen-Cape;4003417629518;2.66
116098;Bienen-Cape;4003417628054;2.66
116098;Bienen-Cape;4003417628061;2.66
116098;Bienen-Cape;4003417628078;2.66
116098;Bienen-Cape;4003417630156;2.66
116100;Marienkäfer-Kleidchen;4003417617621;12.46
116100;Marienkäfer-Kleidchen;4003417617638;12.46
116100;Marienkäfer-Kleidchen;4003417617645;12.46
116100;Marienkäfer-Kleidchen;4003417617652;12.46
116100;Marienkäfer-Kleidchen;4003417853388;12.46
116100;Marienkäfer-Kleidchen;4003417853395;12.46
116100;Marienkäfer-Kleidchen;4003417853401;12.46
116101;Bienchen-Kleidchen;4003417617669;12.46
116101;Bienchen-Kleidchen;4003417617676;12.46
116101;Bienchen-Kleidchen;4003417617683;12.46
116101;Bienchen-Kleidchen;4003417617690;12.46
116101;Bienchen-Kleidchen;4003417853418;12.46
116101;Bienchen-Kleidchen;4003417853425;12.46
116101;Bienchen-Kleidchen;4003417853432;12.46
116110;S.W.A.T. Weste;4003417632778;10.71
116110;S.W.A.T. Weste;4003417632785;10.71
116110;S.W.A.T. Weste;4003417632792;10.71
116110;S.W.A.T. Weste;4003417632808;10.71
116110;S.W.A.T. Weste;4003417632815;10.71
116116;Cowboy Girl;4003417647451;15
116116;Cowboy Girl;4003417647468;15
116116;Cowboy Girl;4003417647475;15
116116;Cowboy Girl;4003417647482;15
116116;Cowboy Girl;4003417647499;15
116117;Lucy die Piratin;4003417647307;17.55
116117;Lucy die Piratin;4003417647314;17.55
116117;Lucy die Piratin;4003417647321;17.55
116117;Lucy die Piratin;4003417647338;17.55
116128;Pete der Pirat;4003417647345;14.88
116128;Pete der Pirat;4003417647352;14.88
116128;Pete der Pirat;4003417647369;14.88
116128;Pete der Pirat;4003417647376;14.88
116135;Badeentchen;4003417850042;12.6
116135;Badeentchen;4003417850059;12.6
116148;Astronaut;4003417850196;9.99
116148;Astronaut;4003417850202;9.99
116148;Astronaut;4003417850219;9.99
116148;Astronaut;4003417850226;9.99
116148;Astronaut;4003417850233;9.99
116170;Pink Garden Princess;4003417649806;7.5
116170;Pink Garden Princess;4003417649813;7.5
116170;Pink Garden Princess;4003417649820;7.5
116170;Pink Garden Princess;4003417649837;7.5
116173;Hase;4003417850431;7.5
116173;Hase;4003417850448;7.5
116173;Hase;4003417850455;7.5
116174;Maus;4003417850479;7.5
116174;Maus;4003417850486;7.5
116174;Maus;4003417850493;7.5
116178;Indianerin;4003417850592;12.46
116178;Indianerin;4003417850608;12.46
116178;Indianerin;4003417850615;12.46
116178;Indianerin;4003417850622;12.46
116179;Indianer;4003417850639;12.71
116179;Indianer;4003417850646;12.71
116179;Indianer;4003417850653;12.71
116179;Indianer;4003417850660;12.71
116188;Prinzessin Elli blau;4003417853029;11.5
116188;Prinzessin Elli blau;4003417853036;11.5
116188;Prinzessin Elli blau;4003417853043;11.5
116188;Prinzessin Elli blau;4003417853050;11.5
116190;Polizistin ;4003417654565;12.46
116190;Polizistin ;4003417654572;12.46
116190;Polizistin ;4003417654589;12.46
116190;Polizistin ;4003417654596;12.46
116190;Polizistin ;4003417654602;12.46
116193;Meerjungfrau Alana;4003417855184;12.5
116193;Meerjungfrau Alana;4003417855191;12.5
116193;Meerjungfrau Alana;4003417855207;12.5
