Artikelnummer;Bezeichnung;EAN;Netto
3090;Kaffee-Service classic 12-teilig;4007275030905;16.65
3235;Rührschüssel;4007275032350;3.05
3236;Teigrolle;4007275032367;3.55
3248;Plätzchenküche 5-teilig;4007275032480;5.2
3249;Eismeister 3-teilig;4007275032497;2.5
3401;Straßenbesen Holz;4007275034019;6.55
3502;Stapelbecher-Set 5-teilig;4007275035023;5.2
3706;Plansch-Set 5-teilig in der Tragetasche;4007275037065;9.05
3723;Boot;4007275037232;1.02
3725;Wellenreiter 4-teilig;4007275037256;3.05
7201;Eimer groß classic;4007275072011;3.6
7204;Eimer classic;4007275072042;2.1
7211;Eimer groß Garten;4007275072110;3.6
7212;Wunder-Ei fashion 5-teilig;4007275072127;5
7216;Eimer klein Pirat;4007275072165;2.5
7217;Eimer klein Prinzessin;4007275072172;2.5
7218;Pflanztopf Garten;4007275072189;1.02
7219;Untersetzer Garten;4007275072196;0.52
7220;Mini Eimer babyfoot classic;4007275072202;3.6
7221;Wunder-Ei Prinzessin 5-teilig;4007275072219;5
7222;Wunder-Ei Pirat 5-teilig;4007275072226;5
7235;Eimer fashion;4007275072356;2.1
7303;Gießkanne Hippo fashion;4007275073032;3.6
7304;Gießkanne groß classic;4007275073049;9.6
7305;Gießkanne groß Garten;4007275073056;9.6
7323;Gießkanne classic;4007275073230;4.65
7324;Gießkanne Garten;4007275073247;4.65
7325;Gießkanne fashion;4007275073254;4.65
7326;Gießkanne Pirat;4007275073261;4.65
7327;Gießkanne Prinzessin;4007275073278;4.65
7328;Gießkanne transluzent rosa;4007275073285;4.65
7329;Gießkanne transluzent grün;4007275073292;4.65
7402;Sandförmchen Gugelhupf classic;4007275074022;0.95
7411;Sandförmchen Ocean classic;4007275074114;0.52
7412;Eistüte fashion;4007275074121;0.62
7413;Eis-Duo fashion 5-teilig im Netz;4007275074138;4.1
7415;Eistüte classic;4007275074152;0.62
7416;Eis-Duo fashion 5-teilig;4007275074169;4.1
7417;Sandförmchen Burgbewohner Prinzessin;4007275074176;0.66
7418;Sandförmchen Pirat;4007275074183;0.66
7419;Sandförmchen Märchen Prinzessin;4007275074190;0.66
7420;Sandförmchen Burgbewohner classic;4007275074206;0.66
7422;Sandförmchen Burgturm classic;4007275074220;1.45
7423;Sandförmchen Burgmauer classic;4007275074237;1.45
7424;Sandförmchen Burgtor classic;4007275074244;2
7425;Burgen-Set classic 3-teilig im Netz;4007275074251;4.4
7435;Sandförmchen Ocean fashion;4007275074350;0.52
7436;Sandförmchen Glitzer Edition Prinzessin 3-teilig;4007275074367;2
7437;Sandförmchen Glitzer Edition Prinzessin;4007275074374;0.66
