Artikelnummer;Bezeichnung;EAN;Netto
10209;TD PM THE MOVIE S2 ;4008789102096;86.4
10210;NF PM MOVIE FIGURES S2;4008789102102;86.4
70139;PLAYMOBIL-Figures Boys (Serie 17);4008789701398;1.8
10043;TD FIGURES S17 - BOYS  48 Stück;4008789100436;55.2
10045;NF-Figures S17 - Boys - 96  ;4008789100450;110.4
70242;PLAYMOBIL-Figures Boys (Serie 17);4008789702425;1.15
10044;TD FIGURES S17 - Girls  48 Stück;4008789100443;55.2
10046;NF-Figures S17 - Girls - 96;4008789100467;110.4
70243;PLAYMOBIL-Figures Girls (Serie 17) ;4008789702432;1.15
10049;TD FIGURES S18 - BOYS  48 Stück;4008789100498;55.2
10050;TD Figures S18 - Girls - 48;4008789100504;110.4
70369;PLAYMOBIL-Figures Boys (Serie 18);4008789703699;1.15
10051;NF-Figures S18 - Boys - 96 Stück;4008789100511;55.2
10052;NF-Figures S18 - Girls - 96 Stück;4008789100528;110.4
70370;PLAYMOBIL-Figures Girls (Serie 18);4008789703705;1.15
10217;TD EverDreamerz Serie 1 - 48  ;4008789102171;163.2
10123;Säule EverDreamerz Serie 1 ;4008789101235;163.2
10218;NF EverDreamerz Serie 1 - 24 ;4008789102188;81.6
70389;Überraschungsbox;4008789703897;3.4
10028;TD SCOOBY-DOO! Serie 1 - 48 ;4008789100283;86.4
10029;NF SCOOBY-DOO! Serie 1 - 48 ;4008789100290;86.4
70288;SCOOBY-DOO! Mystery Figures (Serie 1) ;4008789702883;1.8
5159;Unterwassermotor im Blister;4008789051592;4.66
5167;Neues Mitnehm-Puppenhaus;4008789051677;18.75
5337;Flughafenlöschfahrzeug mit Li;4008789053374;38.01
5382;Junge mit Kart;4008789053824;2.28
5573;Zwillingskinderwagen;4008789055736;4.85
6765;Meine Mitnehm-Arche Noah;4008789067654;19.97
6773;Reisebus;4008789067739;10.86
6774;Müllauto;4008789067746;7.55
6775;Radlader;4008789067753;7.55
6872;Polizei-Kommandozentrale mit;4008789068729;50.85
6873;Polizei-Einsatzwagen;4008789068736;19.1
6874;Polizei-Helikopter mit LED-Su;4008789068743;18.43
6876;Motorradstreife mit LED-Blink;4008789068767;9.09
6878;Polizei-Straßensperre;4008789068781;8.66
6879;Ganoven-Quad mit Seilwinde;4008789068798;6.97
6914;RC-Modul-Set 2 4 GHz;4008789069146;24.5
6926;Großer Reiterhof;4008789069269;53.89
6927;Ponyhof;4008789069276;28.85
6928;Pferdetransporter;4008789069283;23.25
6929;Pferdewaschplatz;4008789069290;15.51
6930;Reitturnier;4008789069306;16.85
6932;Pferdekutsche;4008789069320;9.44
6933;Voltigier-Training;4008789069337;4.78
6934;"Pferdebox ""Araber""";4008789069344;11.55
6935;"Pferdebox ""Appaloosa""";4008789069351;11.55
6947;Fröhlicher Ausritt;4008789069474;10.91
6948;Ausflug mit Ponywagen;4008789069481;7.1
6962;Mein Mitnehm-Bauernhof;4008789069627;19.97
6964;Traktor mit Anhänger;4008789069641;9.25
6967;Feuerwehrleiterfahrzeug;4008789069672;8.66
6973;Reiterin mit Pferd;4008789069733;3.42
9079;Babyausstatter;4008789090799;22.22
9081;Geldautomat;4008789090812;5.67
9084;Strand-Girl mit Roller;4008789090843;2.28
9118;Piratenschiff;4008789091185;15.64
9122;Rettungswagen;4008789091222;9.25
9142;Muldenkipper;4008789091420;12.5
9144;Wassertank-Laster;4008789091444;12.5
9145;Schaufelbagger;4008789091451;12.5
9218;Duo Pack Polizist und Langfin;4008789092182;2.82
9219;Ghostbusters Feuerwache;4008789092199;50.6
9220;Ghostbusters Ecto-1;4008789092205;31.79
9221;Stay Puft Marshmallow Man;4008789092212;11.44
9222;Slimer mit Hot Dog Stand;4008789092229;10.16
9223;Venkman und Terror Dogs;4008789092236;7.55
9224;Spengler und Geist;4008789092243;4.78
9247;Astrid und Sturmpfeil;4008789092472;15.8
9257;Ranger mit Zebra;4008789092571;2.85
9262;"Adventskalender ""Reiterhof""";4008789092625;13.7
9266;Modernes Wohnhaus;4008789092663;59.2
9267;Wohnzimmer;4008789092670;9.65
9268;Badezimmer;4008789092687;11.55
9269;Große Familienküche;4008789092694;12.64
9270;Fröhliches Kinderzimmer;4008789092700;8.5
9271;Schlafzimmer;4008789092717;9.99
9272;Einweihungsparty;4008789092724;18.53
9275;"Tierhotel ""Pfötchen""";4008789092755;35.1
9276;Katzenpension;4008789092762;13.17
9277;Kleintierpension;4008789092779;13.17
9278;Mobiler Hundesalon;4008789092786;13.52
9279;Hundetrainer;4008789092793;5.65
