Artikelnummer;Bezeichnung;EAN;Netto
10215;Wildfang;4002162145106;10.59
10215;Wildfang;4002162145113;10.59
10215;Wildfang;4002162145120;10.59
10215;Wildfang;4002162145137;10.59
10215;Wildfang;4002162173055;10.59
10215;Wildfang;4002162173062;10.59
10327;3/4 Hexenhose;4002162899368;8.5
10327;3/4 Hexenhose;4002162899375;8.5
10327;3/4 Hexenhose;4002162222685;8.5
10327;3/4 Hexenhose;4002162222692;8.5
10327;3/4 Hexenhose;4002162222708;8.5
10327;3/4 Hexenhose;4002162222715;8.5
10327;3/4 Hexenhose;4002162222722;8.5
10327;3/4 Hexenhose;4002162222739;8.5
10327;3/4 Hexenhose;4002162222746;8.5
10327;3/4 Hexenhose;4002162222753;8.5
10357;Liebestöter knielang;4002162728712;7.5
10357;Liebestöter knielang;4002162728729;7.5
10357;Liebestöter knielang;4002162093308;7.5
10357;Liebestöter knielang;4002162093315;7.5
10357;Liebestöter knielang;4002162093322;7.5
10357;Liebestöter knielang;4002162093339;7.5
10357;Liebestöter knielang;4002162093346;7.5
10357;Liebestöter knielang;4002162093353;7.5
10357;Liebestöter knielang;4002162093360;7.5
10357;Liebestöter knielang;4002162093377;7.5
10444;Mönch;4002162134544;12.5
10444;Mönch;4002162134551;12.5
10444;Mönch;4002162134568;12.5
10444;Mönch;4002162134575;12.5
10444;Mönch;4002162134582;12.5
10459;Sträfling;4002162098730;14.5
10459;Sträfling;4002162098747;14.5
10459;Sträfling;4002162098754;14.5
10459;Sträfling;4002162098761;14.5
10459;Sträfling;4002162098778;14.5
10459;Sträfling;4002162178685;14.5
11003;Popcorn Hülle Babytrage;4002162584240;6.3
11420;Hexenhut;4002162261158;2
11420;Hexenhut;4002162261165;2
11801;Schärpe rot;4002162708950;1.57
12100;Little Nili;4002162929201;9.95
12100;Little Nili;4002162928495;9.95
12100;Little Nili;4002162928501;9.95
12101;Piratenlady;4002162928518;15
12101;Piratenlady;4002162928525;15
12101;Piratenlady;4002162928532;15
12101;Piratenlady;4002162928549;15
12101;Piratenlady;4002162928556;15
12101;Piratenlady;4002162928563;15
12102;Hase Overall;4002162033502;12.46
12102;Hase Overall;4002162033519;12.46
12102;Hase Overall;4002162033526;12.46
12103;Totenkopf Ritter;4002162929157;7.5
12103;Totenkopf Ritter;4002162929164;7.5
12103;Totenkopf Ritter;4002162929171;7.5
12103;Totenkopf Ritter;4002162929188;7.5
12104;Marienchen;4002162282726;7.15
12104;Marienchen;4002162282733;7.15
12104;Marienchen;4002162282740;7.15
12106;Little Rino;4002162929874;9.95
12106;Little Rino;4002162929881;9.95
12106;Little Rino;4002162929898;9.95
12107;Black Cat;4002162929904;15
12107;Black Cat;4002162929911;15
12107;Black Cat;4002162929928;15
12109;Gladiator;4002162296419;15
12109;Gladiator;4002162296426;15
12109;Gladiator;4002162296433;15
12109;Gladiator;4002162296440;15
12109;Gladiator;4002162296464;15
12110;Neonskelett;4002162034257;9.95
12110;Neonskelett;4002162034264;9.95
12110;Neonskelett;4002162034271;9.95
12110;Neonskelett;4002162034288;9.95
12110;Neonskelett;4002162034295;9.95
12112;Mietzekatze;4002162283099;6
12112;Mietzekatze;4002162283105;6
12112;Mietzekatze;4002162283112;6
12112;Mietzekatze;4002162283129;6
12114;Little Princess;4002162297430;14.95
12114;Little Princess;4002162297447;14.95
12114;Little Princess;4002162297454;14.95
12114;Little Princess;4002162297461;14.95
12117;Ghostcape;4002162297249;11.5
12117;Ghostcape;4002162297256;11.5
12118;Ringelshirt langarm garngefärbt rot/weiß;4002162798081;5.99
12118;Ringelshirt langarm garngefärbt rot/weiß;4002162798098;5.99
12119;Ringelshirt langarm garngefärbt blau/weiß;4002162798104;5.99
12119;Ringelshirt langarm garngefärbt blau/weiß;4002162798111;5.99
12126;Little Cowgirl;4002162583786;10.05
12126;Little Cowgirl;4002162583793;10.05
12126;Little Cowgirl;4002162583809;10.05
12126;Little Cowgirl;4002162583816;10.05
12126;Little Cowgirl;4002162583823;10.05
12126;Little Cowgirl;4002162583830;10.05
12132;Little Pirat;4002162283396;6
12132;Little Pirat;4002162283402;6
12132;Little Pirat;4002162283419;6
12132;Little Pirat;4002162283426;6
12132;Little Pirat;4002162283433;6
12135;Indianer;4002162583847;15
12135;Indianer;4002162583854;15
12135;Indianer;4002162583861;15
12135;Indianer;4002162583878;15
12135;Indianer;4002162583885;15
12135;Indianer;4002162583892;15
12136;Indianerin;4002162583908;12.5
12136;Indianerin;4002162583915;12.5
12136;Indianerin;4002162583922;12.5
12136;Indianerin;4002162583939;12.5
12136;Indianerin;4002162583946;12.5
12136;Indianerin;4002162583953;12.5
12204;Spieleshirt Pirat;4002162306996;4.95
12204;Spieleshirt Pirat;4002162307009;4.95
12204;Spieleshirt Pirat;4002162307016;4.95
12204;Spieleshirt Pirat;4002162307023;4.95
12204;Spieleshirt Pirat;4002162307030;4.95
12205;Prinzessin Elissa ;4002162307047;7.5
12205;Prinzessin Elissa ;4002162307054;7.5
12205;Prinzessin Elissa ;4002162307061;7.5
12205;Prinzessin Elissa ;4002162307078;7.5
12206;Army Weste;4002162897685;8.2
12206;Army Weste;4002162897692;8.2
12208;Frosch Cape;4002162307122;7.5
12208;Frosch Cape;4002162307146;7.5
12208;Frosch Cape;4002162307153;7.5
12212;Prinzessin Melody ;4002162307245;7.5
12212;Prinzessin Melody ;4002162307252;7.5
12212;Prinzessin Melody ;4002162307269;7.5
12212;Prinzessin Melody ;4002162307276;7.5
12214;Prinzessin Rosalie ;4002162307283;6
12214;Prinzessin Rosalie ;4002162307290;6
12214;Prinzessin Rosalie ;4002162307306;6
12214;Prinzessin Rosalie ;4002162307313;6
12220;Dino Cape;4002162798715;10.5
12220;Dino Cape;4002162798722;10.5
12220;Dino Cape;4002162798739;10.5
12221;Ente Cape;4002162798746;7.5
12221;Ente Cape;4002162798753;7.5
12221;Ente Cape;4002162798760;7.5
12222;Hahn  Cape;4002162798777;7.5
12222;Hahn  Cape;4002162798784;7.5
12222;Hahn  Cape;4002162798791;7.5
12223;Kleiner Stinker Cape;4002162798807;10.5
12223;Kleiner Stinker Cape;4002162798814;10.5
12223;Kleiner Stinker Cape;4002162798821;10.5
12224;Schmetterling Fee;4002162917697;12.04
12224;Schmetterling Fee;4002162917703;12.04
12224;Schmetterling Fee;4002162917710;12.04
12230;Kleiner Engel;4002162307566;13.55
12230;Kleiner Engel;4002162307573;13.55
12230;Kleiner Engel;4002162307580;13.55
12230;Kleiner Engel;4002162307597;13.55
12231;Little Spidy;4002162898934;17.5
12231;Little Spidy;4002162898941;17.5
12231;Little Spidy;4002162898958;17.5
12231;Little Spidy;4002162898965;17.5
12232;Einhorn;4002162899023;13.95
12232;Einhorn;4002162899030;13.95
12232;Einhorn;4002162899047;13.95
