Artikelnummer;Bezeichnung;EAN;Netto
99094-15;"Türhänger ""Badener""";4260361817297;2.38
99091-14;"Thermometer ""Vintage""";4036113808215;6.13
99081-15;"Plüschwürfel ""rot-weiß""";4260361817334;4.05
99032-15;"Sparschwein ""Mütze""";4260361817280;4.2
99029-15;"Waschbecken-Stopfen ""Wappen""";4260361817631;5.91
99023-15;"Flaschenöffner ""Wappen""";4260361819048;3.05
99014-08;"Luftballon ""Füchsle""";9901408;0.19
99008-07;"Kennzeichenrahmen ""sportclub""";4052983506648;2.93
99007-07;"Bonbondose ""SC Freiburg""";4002590311616;1.4
99004-15;"Kindersocke ""Wappen"" 25-28";4260361817594;4.05
99004-15;"Kindersocke ""Wappen"" 21-24";4260361817587;4.05
94000-15;"Socken ""Business"" 43-46";4260361817624;4.15
94000-15;"Socken ""Business"" 39-42";4260361817617;4.15
94000-15;"Socken ""Business"" 35-38";4260361817600;4.15
80015-15;"Schlüsselanhänger ""Wappen II""";4260361819024;3.05
70110-15;"Geldbeutel ""Linien""";4260361817419;5.66
70104-14;"Flaschenverschluss ""Emblem""";4260188750876;6.68
70027-16;Plüschf. 13cm Sauger;4260363981828;4.2
69043-16;"Buch ""Die drei ??? Kids""";9783440160008;7.19
69021-13;111 Gründe, den SC Freiburg zu lieben;9783862657360;8.44
65100-15;"Cap ""red II""";4260143856711;5.64
65070-15;"Kinder-Cap ""red II""";4260143856704;5.82
65012-11;"Cap ""black III""";4260143855639;5.26
42117-13;"Handytasche ""Leder""  M+";4260221247264;15.63
42014-07;"Kugelschreiber  ""silber-rot""";4201407;0.55
42013-15;"Kugelschreiber ""Business""";4201315;18.06
40007-09;Pin Wappen;4000700;1.41
40002-08;"Pin ""Füchsle mit Wappen""";4000208;1.4
35301-14;"Fahrradklingel ""rot-weiß""";4260368480449;6.03
35004-15;"Würfelbecher-Set ""Logo""";4260029822670;5.2
20009-15;"Zimmerfahne ""Greif""";4260361817327;6.65
19-100202;"Schal ""SCF x Union Berlin - DFB Pokal 19/20""";4260099236285;5.88
19-100200;"Tasse ""Mannschaftsfoto 19/20""";4260602038702;5.44
19-100199;"Tasse ""Team Signature 19/20""";4260602038696;5.44
19-100197;"Buch ""SC Freiburg und die Ära Streich""";9783730704189;13.45
19-100196;"Case ""Sterne Huawei P30"" ";4260643611223;9.28
19-100195;"Case ""Sterne iPhone XS/X"" ";4260643611216;9.28
19-100194;"Case ""Greif Samsung A40"" ";4260643611209;9.28
19-100193;"Case ""Greif Samsung S10"" ";4260643611193;9.28
19-100192;"Case ""Greif iPhone XS/X"" ";4260643611186;9.28
19-100191;"Case ""Greif iPhone XR"" ";4260643611179;9.28
19-100190;"Case ""Team Huawei P30""";4260643611162;9.28
19-100189;"Case ""Sterne Samsung S10"" ";4260643611230;9.28
19-100188;"Case ""Team iPhone XS/X"" ";4260643611155;9.28
19-100187;"Case ""Team iPhone XR"" ";4260643611148;9.28
19-100185;"Taschenschirm ""Wappen""";4250577723062;10.9
19-100184;"Lanyard ""SC Freiburg""";4250577723055;3.25
19-100183;"Mäppchen ""SC Freiburg""";4250577723048;7.07
19-100181;"Badeente ""Neues Stadion""";4250577723024;3.97
19-100180;"4in1 Mousepad ""Neues Stadion""";4250577723017;3.97
19-100179;"Pilotbrille ""Wappen""";4250577723000;7.49
19-100178;"Zollstock ""Neues Stadion""";4250577722997;3.97
19-100173;"Radtrikot ""Tannen 19/20"" - XXL";4250039676943;46.34
19-100173;"Radtrikot ""Tannen 19/20"" - XS";4250039676899;46.34
19-100173;"Radtrikot ""Tannen 19/20"" - XL";4250039676936;46.34
19-100173;"Radtrikot ""Tannen 19/20"" - S";4250039676905;46.34
19-100173;"Radtrikot ""Tannen 19/20"" - M";4250039676912;46.34
19-100173;"Radtrikot ""Tannen 19/20"" - L";4250039676929;46.34
19-100173;"Radtrikot ""Tannen 19/20"" - 3XL";4250039676950;46.34
19-100172;"T-Shirt ""Basic Jubelfuchs"" - 152-164";4250577723109;8.17
19-100172;"T-Shirt ""Basic Jubelfuchs"" - 134-146";4250577723093;8.17
19-100172;"T-Shirt ""Basic Jubelfuchs"" - 122-128";4250577723086;8.17
19-100172;"T-Shirt ""Basic Jubelfuchs"" - 110-116";4250577723079;8.17
19-100164;"Cap ""1904""";4251201422375;9.26
19-100163;"Magnet ""SC Freiburg""";4260294693555;2.7
19-100162;"Magnet ""Sehenswürdigkeiten""";4260294693548;2.7
19-100161;"SA ""Kapselheber""";4260294693531;2.7
19-100160;"Magnet ""Flaschenöffner""";4260294693524;2.7
19-100159;"SA ""Schlüsselkette""";4260294693517;4.34
19-100158;Taschenmesser;4260294693500;4.34
19-100148;"T-Shirt ""Black Bonnie x SC Freiburg"" XXL";4250039669747;17.62
19-100148;"T-Shirt ""Black Bonnie x SC Freiburg"" XL";4250039669730;17.62
19-100148;"T-Shirt ""Black Bonnie x SC Freiburg"" S";4250039669709;17.62
19-100148;"T-Shirt ""Black Bonnie x SC Freiburg"" M";4250039669716;17.62
19-100148;"T-Shirt ""Black Bonnie x SC Freiburg"" L";4250039669723;17.62
19-100147;"Hoodie ""Black Bonnie x SC Freiburg"" XXL";4250039669693;53.75
19-100147;"Hoodie ""Black Bonnie x SC Freiburg"" XL";4250039669686;53.75
19-100147;"Hoodie ""Black Bonnie x SC Freiburg"" S";4250039669655;53.75
19-100147;"Hoodie ""Black Bonnie x SC Freiburg"" M";4250039669662;53.75
19-100147;"Hoodie ""Black Bonnie x SC Freiburg"" L";4250039669679;53.75
19-100146;"Stirnband ""Badge""";4260592571111;8.26
19-100145;"Eventglas ""scfreiburg""";4900224024140;2.73
19-100144;"Bierkrug ""Rothaus x SC Freiburg""";4251201421163;2.7
19-100143;"Weizenglas ""Rothaus x SC Freiburg""";4251201421156;3.25
19-100142;"Pilsglas ""Tannenzäpfle x SC Freiburg""";4251201421149;2.7
19-100141;"Wendebeanie ""Wappen""";4260592571074;8.26
19-100140;"Wollmütze ""Letters"" red";4260592571081;10.9
19-100139;"Wollmütze ""Letters"" grey";4260592571098;10.9
19-100138;"Beanie ""Destroyed""";4260592571104;8.26
19-100137;"Mütze ""Bay""";4260592571067;10.9
19-100136;"T-Shirt ""FRBRG"" XXL";4061335997355;12.33
19-100136;"T-Shirt ""FRBRG"" XL";4061335997348;12.33
19-100136;"T-Shirt ""FRBRG"" S";4061335997317;12.33
19-100136;"T-Shirt ""FRBRG"" M";4061335997324;12.33
19-100136;"T-Shirt ""FRBRG"" L";4061335997331;12.33
19-100136;"T-Shirt ""FRBRG"" 3XL";4061335997362;12.33
19-100135;"Tasse ""Europa Park x SC Freiburg""";4251201421132;4.89
19-100132;"Fußball Carbon ""Wappen""";4251111204252;8.79
19-100131;"Notizbuch ""Wappen"" geprägt";4251201421088;8.17
19-100130;"Thermobecher ""KingCan"" graviert";4251201421101;8.79
19-100129;"Badehose Kids ""Wappen"" 164";4260483935459;9.81
19-100129;"Badehose Kids ""Wappen"" 152";4260483935442;9.81
19-100129;"Badehose Kids ""Wappen"" 140";4260483935435;9.81
19-100129;"Badehose Kids ""Wappen"" 128";4260483935428;9.81
19-100128;"Badehose ""Wappen"" XXL";4260483935503;10.9
19-100128;"Badehose ""Wappen"" XL";4260483935497;10.9
19-100128;"Badehose ""Wappen"" S";4260483935466;10.9
19-100128;"Badehose ""Wappen"" M";4260483935473;10.9
19-100128;"Badehose ""Wappen"" L";4260483935480;10.9
19-100128;"Badehose ""Wappen"" 3XL";4260483935510;10.9
19-100127;"Hoodie ""Sportclub"" XXL";4060452015706;30.49
19-100127;"Hoodie ""Sportclub"" XL";4060452015690;30.49
19-100127;"Hoodie ""Sportclub"" S";4060452015669;30.49
19-100127;"Hoodie ""Sportclub"" M";4060452015676;30.49
19-100127;"Hoodie ""Sportclub"" L";4060452015683;30.49
19-100127;"Hoodie ""Sportclub"" 3XL";4060452015713;30.49
19-100126;"Zip-Jacke ""Block"" XXL";4060452015645;30.01
19-100126;"Zip-Jacke ""Block"" XL";4060452015638;30.01
19-100126;"Zip-Jacke ""Block"" S";4060452015607;30.01
19-100126;"Zip-Jacke ""Block"" M";4060452015614;30.01
19-100126;"Zip-Jacke ""Block"" L";4060452015621;30.01
19-100126;"Zip-Jacke ""Block"" 3XL";4060452015652;30.01
19-100125;"T-Shirt Kids ""Nachwuchsspieler"" 98-104";4060452015386;11.14
19-100125;"T-Shirt Kids ""Nachwuchsspieler"" 86-92";4060452015379;11.14
19-100125;"T-Shirt Kids ""Nachwuchsspieler"" 74-80";4060452015362;11.14
19-100125;"T-Shirt Kids ""Nachwuchsspieler"" 140";4060452015416;11.14
19-100125;"T-Shirt Kids ""Nachwuchsspieler"" 128";4060452015409;11.14
19-100125;"T-Shirt Kids ""Nachwuchsspieler"" 110";4060452015393;11.14
19-100108;"Dufttrikot ""Heimtrikot 19/20""";4057613802411;2.16
19-100107;"Schlüsselanhänger ""Schal""";4057613802404;3.8
19-100106;"Stadiontasche ""Wappen""";4057613802398;11.75
19-100105;Geschenkbox Baby-Starterset 62-68;4036647084215;29.95
19-100104;"Baby-Lätzchen ""Streifen""";4036647084208;5.43
19-100103;"Baby-Halstuch ""Streifen""";4036647084192;4.34
19-100102;"Baby-Mütze ""Streifen""";4036647084185;5.43
19-100101;"Baby-Schuhe ""Wappen""";4036647084178;5.44
19-100094;"Baby-Wendejacke ""Streifen"" 74-80";4036647083928;16.38
19-100094;"Baby-Wendejacke ""Streifen"" 62-68";4036647083911;16.38
19-100094;"Baby-Wendejacke ""Streifen"" 50-56";4036647083904;16.38
19-100092;Schoko Weihnachtsmann 19 / 150g;4013900943045;1.96
19-100091;Adventskalender 19;4013900942680;3.03
19-100090;"Buch ""Freundealbum 19/20""";9783941153615;6.51
19-100088;"Schal ""Business Fankaro""";4260446510112;16.36
19-100087;"Schal ""Blockstreifen weiß/rot""";4260406532628;9.26
19-100086;"Schal ""3rd Trikot 19/20""";4260406532659;9.26
19-100085;"Schal ""Auswärtstrikot 19/20""";4260406532642;9.26
19-100084;"Schal ""Heimtrikot 19/20""";4260406532635;9.26
19-100083;"Steppjacke ""SC Freiburg 19/20"" XXL";4251201498042;23.5
19-100083;"Steppjacke ""SC Freiburg 19/20"" XL";4251201498035;23.5
19-100083;"Steppjacke ""SC Freiburg 19/20"" S";4251201498004;23.5
19-100083;"Steppjacke ""SC Freiburg 19/20"" M";4251201498011;23.5
19-100083;"Steppjacke ""SC Freiburg 19/20"" L";4251201498028;23.5
19-100083;"Steppjacke ""SC Freiburg 19/20"" 3XL";4251201498059;23.5
19-100081;"Jumpsuit ""Nicki Wappen"" 86-92";7325680068847;20.56
19-100081;"Jumpsuit ""Nicki Wappen"" 74-80";7325680068830;20.56
19-100081;"Jumpsuit ""Nicki Wappen"" 62-68";7325680068823;20.56
19-100081;"Jumpsuit ""Nicki Wappen"" 50-56";7325680068816;20.56
19-100074;"Pin ""Ausweichtrikot 19/20""";4260099235448;2.7
19-100073;"Pin ""Auswärtstrikot 19/20""";4260099235431;2.7
19-100072;"Pin ""Heimtrikot 19/20""";4260099235424;2.7
19-100071;"Schal Lurex ""SCF""";4260099235417;9.26
19-100070;"Schal ""Schrägbalken schwarz""";4260099235400;8.17
19-100069;"Schal ""Schwarzwald-Stadion""";4260099235394;8.17
19-100068;"Schal ""Heimsieg/Auswärtssieg""";4260099235387;8.17
19-100067;"Schal Poly ""SCF""";4260099235370;9.26
19-100066;"Spielesammlung ""sc freiburg""";4260029829839;15.48
19-100065;"Strohhut ""scfreiburg""";4251201497182;5.39
19-100064;"Flaschenöffner ""Holz""";4260602033028;3.43
19-100063;"Zahnputzbecher ""Wappen""";4260602032991;2.35
19-100062;"Babysocken ""Sneaker"" 25-28";4260602033011;3
19-100062;"Babysocken ""Sneaker"" 21-24";4260602033004;3
19-100061;"Sportsocken ""scfreiburg"" 43-46";4260602032984;5.46
19-100061;"Sportsocken ""scfreiburg"" 39-42";4260602032977;5.46
19-100061;"Sportsocken ""scfreiburg"" 35-38";4260602032960;5.46
19-100060;Vogelfutter-Haus;4260602032953;16.84
19-100058;"Geldbörse ""Nylon""";4260602032939;10.14
19-100057;"Geldbörse Leder ""Hochformat""";4260602032922;18.01
19-100056;"Korkuntersetzer ""4er-Set""";4260602032915;4.52
19-100055;"Tasse ""Allover""";4260602032908;5.58
19-100054;"Tasse ""Relief"" 19/20";4260602032892;7.49
19-100053;"Kinder Handschuhe ""Füchsle""";4260602035466;5.14
19-100052;"Brillenetui ""Wappen""";4260602032878;5.96
19-100051;"Espresso-Set ""Greif""";4260602032885;9.01
19-100050;"Tasse ""Emaille""";4260602033820;5.44
19-100049;"Tasse ""Nadelstreifen""";4260602032861;5.44
19-100048;"Mütze ""NE Greif""";193649929990;13.63
19-100047;"Mütze ""NE 1904""";193649929976;13.63
19-100046;"Mütze Bommel ""NE Wappen rot/weiß""";193649929945;13.63
19-100045;"Mütze Bommel ""NE glow in the dark""";193649929952;13.63
19-100044;"Cap ""NE 59FIFTY Freiburg"" 7 1-2";193650058597;19.09
19-100044;"Cap ""NE 59FIFTY Freiburg"" 7 3-8";193650058634;19.09
19-100044;"Cap ""NE 59FIFTY Freiburg"" 7";193650058580;19.09
19-100044;"Cap ""NE 59FIFTY Freiburg"" 7 1-8";193650058610;19.09
19-100044;"Cap ""NE 59FIFTY Freiburg"" 7 1-4";193650058603;19.09
