Artikelnummer;EAN;Bezeichnung;Netto
13734;4005086137349;Shire Hengst;5.25
13735;4005086137356;Shire Stute;5.25
13746;4005086137462;Esel Fohlen;2.2
13758;4005086137585;Trakehner Fohlen;2.78
13762;4005086137622;Araber Fohlen;2.78
13770;4059433025612;Katze, stehend;2.2
13771;4059433025629;Katze, sitzend;2.2
13772;4005086137721;Esel;3.38
13773;4055744027871;Tinker Stute;4.32
13774;4055744027864;Tinker Fohlen;2.78
13782;4005086137820;Schwein;2.78
13783;4059433025605;Ferkel, stehend;2.2
13790;4005086137905;Island Pony Stute;3.38
13793;4005086137936;Andalusier Stute;4.32
13794;4005086137943;Pinto Hengst;4.32
13797;4005086137974;Kuh Schwarzbunt;4.32
13798;4005086137981;Kalb Schwarzbunt;2.78
13799;4005086137998;Gans;2.2
13801;4005086138018;Fleckvieh-Kuh;4.32
13802;4005086138025;Fleckvieh-Kalb;2.78
13803;4005086138032;Pinto Fohlen;2.78
13804;4005086138049;TennesseeWalker Fohlen;2.78
13805;4005086138056;Mustang Hengst;4.32
13806;4005086138063;Mustang Stute;4.32
13807;4005086138070;Mustang Fohlen;2.78
13808;4005086138087;Clydesdale Wallach;5.25
13809;4005086138094;Clydesdale Stute;5.25
13810;4005086138100;Clydesdale Fohlen;2.78
13812;4055744039348;Haflinger Stute;4.32
13813;4055744039355;Haflinger Hengst;4.32
13814;4055744007132;Haflinger Fohlen;2.78
13815;4055744007156;Island Pony Hengst;3.38
13817;4055744011740;Hannoveraner Stute;4.32
13818;4055744011757;Hannoveraner Fohlen;2.78
13819;4055744012358;Lipizzaner Stute;4.32
13820;4055744012365;Lipizzaner Fohlen;2.78
13821;4055744012372;Andalusier Hengst;4.32
13822;4055744012389;Andalusier Fohlen;2.78
13824;4059433025544;Erpel;2.2
13825;4055744012464;Hahn;2.2
13826;4055744012471;Henne;2.2
13827;4059433025537;Kaninchen;2.2
13828;4055744035715;Ziege;2.78
13829;4055744035708;Zicklein;2.2
13830;4055744012518;Pinto Stute;4.32
13831;4055744012525;Tinker Hengst;4.32
13832;4055744012532;TennesseeWalkerWallach;4.32
13833;4055744012549;Tennessee Walker Stute;4.32
13834;4055744012556;Labrador Retriev.Huend;2.78
13835;4055744012563;Labrador Retriev.Welpe;2.2
13836;4055744012570;Katze;2.2
13837;4055744011764;Hannoveraner Wallach;4.32
13838;4055744013751;Araberpinto Stute;4.32
13839;4055744013768;Araberpinto Fohlen;2.78
13840;4055744013775;Araberpinto Hengst;4.32
13852;4055744026331;Quarter Horse Stute;4.32
13853;4055744026348;Quarter Horse Hengst;4.32
13854;4055744026355;Quarter Horse Fohlen;2.78
13855;4055744021305;EnglischVollblut Stute;4.32
13856;4055744021312;EnglischVollblutHengst;4.32
13857;4055744021329;EnglischVollblutFohlen;2.78
13858;4055744021336;Holsteiner Stute;4.32
13859;4055744021343;Holsteiner Wallach;4.32
13860;4055744021350;Holsteiner Fohlen;2.78
13861;4055744027888;Appaloosa Stute;4.32
13862;4055744027895;Appaloosa Fohlen;2.78
13863;4055744039690;Connemara Pony Stute;3.38
13865;4055744019852;Texas Longhorn Kuh;4.32
13866;4055744018077;Texas Longhorn Bulle;4.32
13867;4055744028076;Hereford Kuh;4.32
13868;4055744028083;Hereford Kalb;2.78
13869;4055744020292;Morgan Horse Hengst;4.32
13870;4055744020308;Morgan Horse Stute;4.32
13871;4055744020520;Welsh-Pony Hengst;4.32
13872;4055744020537;Welsh-Pony Stute;4.32
13873;4055744020551;Daroor-Pony Stute;3.38
13874;4055744020568;Braunvieh Kuh;4.32
13875;4055744020575;Schwarzer Stier;4.32
13876;4055744027321;Yorkshire Terrier;2.2
13877;4055744020599;Franzoesische Bulld.;2.2
14525;4005086145252;Tyrannosaurus Rex;11.25
14567;4005086145672;Dilophosaurus;7.45
14568;4055744007163;Stegosaurus;7.45
14574;4055744007170;Barapasaurus;11.25
14575;4005086145757;Dunkleosteus;8.35
14576;4055744007194;Herrerasaurus;8.35
14580;4055744011610;Allosaurus;8.35
14581;4055744011603;Brachiosaurus;11.25
14582;4055744011627;Utahraptor;5.7
14584;4055744013713;Acrocanthosaurus;10.2
14585;4055744008368;Velociraptor;5.7
14586;4055744008900;Carnotaurus;8.35
14587;4055744009419;Tyrannosaurus Rex;11.25
14685;4005086146853;Grizzlybaer;4.32
14708;4005086147089;Eisbaerjunges, laufend;2.2
14726;4005086147263;Loewe, bruellend;3.38
14727;4005086147270;Alligator;4.32
14729;4059433025681;Tiger;4.32
14730;4005086147300;Tigerjunges;2.78
14731;4005086147317;Tiger, weiss;4.32
14732;4005086147324;Tigerjunges, weiss;2.78
14733;4005086147331;Kobra;2.78
14734;4005086147348;Panda Junges, spielend;2.2
14735;4005086147355;Hyaene;3.38
14736;4005086147362;Krokodil;4.32
14737;4005086147379;Ara;3.38
14742;4055744027857;Arktischer Wolf;3.38
14746;4005086147461;Gepardin;3.38
14747;4005086147478;Gepardenbaby;2.2
14748;4055744007200;Leopard;3.38
14749;4005086147492;Giraffenbulle;4.32
14750;4005086147508;Giraffenkuh;4.32
14751;4005086147515;Giraffenbaby;2.78
14753;4005086147539;Asiat. Elefantenkuh;5.25
14755;4005086147553;Asiat. Elefantenbaby;2.78
14756;4005086147560;Kaenguru;3.38
14759;4055744007330;Oryxantilope;4.32
14761;4005086147614;Afrikan. Elefantenkuh;5.25
14762;4005086147621;Afrikan.Elefantenbulle;5.25
14763;4005086147638;Afrikan. Elefantenbaby;2.78
14764;4005086147645;Pottwal;5.7
14769;4055744012617;Jaguar;3.38
14770;4055744012624;Gorilla Maennchen;4.32
14771;4055744012631;Gorilla Weibchen;4.32
14772;4055744012648;Grosser Panda;3.38
14773;4055744012655;Grosse Pandabaerin;3.38
14774;4055744012662;Schwarzer Panther;3.38
14775;4055744012679;Orang-Utan Weibchen;4.32
14776;4055744012686;Orang-Utan Junges;2.2
14777;4055744012693;Tukan;2.78
14778;4055744012709;Grosse Anakonda;2.78
14780;4055744012730;Weisskopfseeadler;3.38
14781;4055744012747;Elch Bulle;4.32
14782;4059433011516;Fuchs;2.78
14783;4055744012761;Wildschwein;2.78
14793;4055744011023;Faultier;2.78
14800;4055744019777;Eisbaer;4.32
14801;4055744018084;Seehund;2.78
14802;4055744018299;Seehund Junges;2.2
14803;4055744019784;Walross;4.32
14804;4055744019791;Arktisches Wolfsjunges;2.2
14805;4055744020735;Polarfuchs;2.78
14806;4055744020742;Blauwal;5.7
14807;4055744020759;Orka;5.25
14808;4055744020766;Delfin;2.78
14809;4055744020773;Weisser Hai;4.32
14810;4055744020780;Zebra Stute;4.32
14811;4055744020797;Zebra Fohlen;2.78
14812;4055744020803;Loewe;3.38
14813;4055744020810;Loewenjunges;2.2
14814;4055744020827;Flusspferd;4.32
14815;4055744020834;Koalabaer;2.78
14816;4055744020841;Panzernashorn;4.32
14817;4055744020858;Schimpanse Maennchen;3.38
15000;4055744017766;Triceratops;7.45
15001;4055744020193;Oviraptor;4.32
15002;4055744018039;Dinogorgon;4.32
15003;4055744021268;Therizinosaurus;11.25
15006;4055744021978;Jungt. Therizinosaurus;8.35
15007;4055744022005;Jungt.TyrannosaurusRex;8.35
15008;4055744022036;Pteranodon;5.7
16395;4005086163959;Golden Retriev.Huendin;2.78
16396;4005086163966;Golden Retriever Welpe;2.2
16397;4005086163973;Berner Sennenhuendin;2.78
16831;4005086168312;Schaeferhund;2.78
16832;4005086168329;Schaeferhund Welpe;2.2
16838;4055744007323;Dalmatiner Ruede;2.78
16839;4055744007347;Dalmatiner Welpe;2.2
16840;4055744007354;Border-Collie;2.78
20796;4055744012167;Braeutigam Schlumpf;2.5
20797;4055744012174;Schlumpf mit Kleeblatt;2.5
20799;4055744012198;Braut Schlumpfine;2.5
20803;4055744012242;Schlumpf Haus + 2 Fig;21
20806;4055744021176;Fussb. Schlumpf + Ball;2.5
20808;4055744021190;Fussb.Schlumpf Torhuet;2.5
41416;4005086414167;Saddle bronc rid.+Cowb;8.7
41417;4005086414174;Barrel racing+Cowgirl;12.1
41418;4005086414181;Team roping mit Cowboy;14.8
41419;4005086414198;Bull riding mit Cowboy;14.8
41460;4055744011665;Koenigliche Muschelkut;21
41461;4055744023118;Dinoset mit Hoehle;31
41463;4055744020285;Delfin-Mama mit Babies;5.88
42104;4005086421042;Waschplatz;14.8
42105;4005086421059;Futterset;7.65
42195;4055744005701;Pferdestall+Pferde+Zub;64
42271;4059433231693;Springparcours;12.1
42283;4005086422834;Pflegeset;1.68
42289;4055744005725;Futter f.Schweine+Ferk;1.68
42290;4055744005749;Stallpflege Bauernhof;2.74
42291;4055744005763;Futter f.Kuh+Kaelbchen;2.74
42293;4055744005800;Futter f.Hunde+Katzen;2.18
42301;4055744005848;Fuetterung Bauernhoft.;5.88
42338;4059433232508;Gr.Reitturnier +Pferde;46
42344;4055744005602;Reiterh.+Reit.+Pferde;64
42346;4055744005626;Pick-up mit Pferdeanh.;34.5
42347;4055744011641;Gefiederte Raptoren;10.2
42348;4055744013720;Gr.Schaedelfalle+Veloc;21
42350;4055744014079;Dschungel Forschungsst;64
42351;4055744039379;Quad+Anhaenger +Ranger;18.6
42352;4055744013997;Schlauchboot + Ranger;12.1
42353;4055744014000;Tieraerztin im Einsatz;8.7
42360;4055744012402;Engl.Vollblut + Decke;7.65
42361;4055744031298;Fohlen mit Decke;7.65
42364;4055744013782;Stallapotheke;2.18
42366;4055744013805;Pferdepflege;1.68
42367;4055744013812;Fohlenpflege;2.74
42368;4055744011672;Pferdebox+LusitanoStut;14.8
42369;4055744013836;Pferdeb.+Araber+Pf.pfl;21
42370;4055744013850;Mob.Tieraerztin+Hannov;27.9
42376;4055744012600;Hundehuette;12.1
42377;4055744033339;Heufoerderband + Bauer;12.1
42379;4055744039324;Traktor mit Anhaenger;31
42385;4055744012587;Farm World Starter-Set;12.1
42386;4055744013737;Farm World Tier-Mix;10.2
42387;4055744012723;Wild Life Starter-Set;12.1
42388;4055744014062;Wild Life Tier-Mix;10.2
42389;4055744013843;Reitsch.+ReiterI.+Pf.;46
42407;4055744021060;Bauernhaus + Stall und Tieren;52
42408;4055744021077;Abenteuer Baumhaus;38
42410;4055744021107;Gelaendewagen mit Seilwinde;24.8
42415;4055744032264;Wohnw.f.geh.Club-Treff;38
42416;4055744032295;Grosser Pferdehof+Wohnh+Stall;85.58
42419;4055744020605;Westernreiten;12.1
42420;4055744020612;Kaninchenstall;12.1
42421;4055744020629;Huehnerstall;12.1
42422;4055744018022;Mini-Schwein Mutter+F.;4.65
42423;4055744020636;Pony Stute und Fohlen;4.65
42426;4055744021084;Geburtstagspicknick;7.65
42430;4055744021602;HorseC.Hannahs1.-Hilfe;8.35
42431;4055744021817;HorseC.Sofias Mode-Kre;7.45
42432;4055744021824;HorseC.Sarahs Tierb-Pf;11.25
42433;4055744021831;HorseC.Lisas TurnierTr;14.8
42434;4055744021848;Pferdek.mit Eing.tor;5.88
42442;4055744025129;Spielteppich Bauernhof;21
42445;4055744021909;Glitz.Bluetenh+Einh,See+Stall;46
42447;4055744020933;Lava Golem mit Waffe;8.7
42448;4055744020940;Eismonster mit Waffe;8.7
42449;4055744020957;Monsterkrake mit Waffe;8.7
42450;4055744020964;Steinskelett mit Waffe;8.7
42451;4055744020971;Hoellenhund;5.7
42452;4055744020988;Schneewolf;5.7
42453;4055744020995;Monsterfisch;5.7
42454;4055744021008;Hoehlenbaer;5.7
42455;4055744021015;Frostmonster vs. Feuerloewe;21
70138;4055744021022;Lavadrache;11.25
70139;4055744021039;Eisdrache;11.25
70140;4055744021046;Seemonster;11.25
70141;4055744021053;Steinmonster;11.25
70522;4055744005398;Pegasus;8.7
70523;4005086705234;Regenbogeneinh.,Hengst;8.7
70524;4005086705241;Regenbogeneinhorn,Stut;8.7
70525;4005086705258;Regenbogeneinhorn,Fohl;4.65
70543;4055744012273;Pegasus Fohlen;4.65
70552;4055744013669;Annabelle;4.65
70555;4055744013676;Michelle;7.65
70557;4055744013683;Isabelle;8.7
70558;4055744013690;Gabriella;8.7
70562;4055744020315;Meerjungf.+BabySchildk;8.7
70563;4055744020322;Meerjungf.+Baby-Seepf.;8.7
70564;4055744020339;Meerjungf.+Baby-Robbe;8.7
70565;4055744020346;Sera mit Blueten-Einhorn;10.2
70566;4055744020353;Surah mit Glitzer-Pegasus;10.2
70567;4055744020360;Marween mit Glitzer-Einhorn;10.2
70568;4055744020377;Feya mit Pegasus-Einhorn;10.2
70569;4055744020384;Eyela + Prinzessinnen-Einhorn;10.2
70570;4055744020391;Meereseinhorn, Stute;8.7
70571;4055744020407;Meereseinhorn, Hengst;8.7
70572;4055744020414;Meereseinhorn, Fohlen;4.65
70573;4055744021947;Schmuckeinhorn, Stute;8.7
70574;4055744021954;Schmuckpegasus, Hengst;8.7
70575;4055744021961;Schmuckeinhorn-Pegasus,Fohlen;4.65
70576;4055744020421;GefluegeltesRegenb.einh;8.7
70577;4055744020438;Gefl.Regenb.einh.Fohle;4.65
70629;4055744021862;32 Fohlen, sortiert;88.96
13879;4055744029271;Black Angus Bulle;4.32
13880;4055744029530;Black Angus Kalb;2.78
13881;4055744029547;Texas Longhorn Kalb;2.78
13882;4059433025599;Schaf;2.78
13883;4059433025582;Lamm;2.2
13891;4055744029578;Dackel;2.2
13892;4055744029585;Zwergschnauzer;2.2
13893;4055744029592;Maine-Coon-Katze;2.2
42487;4055744029936;Weidezaun;5.88
42478;4055744029844;Spazierg.m.LabradorRet;5.88
42479;4055744029851;Shiba Inu Mutter+Welpe;4.65
42480;4055744029868;Welpenstube;9
42481;4055744029875;Pony Agility Training;18.6
42482;4055744029882;Pony Agility Rennen;12.1
42483;4055744029899;Pony Slalom;5.88
42484;4055744029905;Pony Flattervorhang;5.88
42485;4055744029912;Pferdestall;52
42486;4055744029929;Arztbesuch bei Stute+Fohlen;12.1
14818;4055744029608;Weisswedelhirsch;3.38
14819;4055744029615;Weisswedelkuh;2.78
14820;4055744029622;Weisswedelkalb;2.2
14821;4055744029639;Wolf;3.38
14822;4055744029646;Luchs;3.38
14823;4055744029653;Quokka;2.2
14825;4055744029660;Loewin;3.38
14826;4055744029677;Komodowaran;4.32
14827;4055744029684;Katta;2.78
14828;4055744029691;Waschbaer;2.78
14829;4059433025360;Vogelspinne;2.78
14830;4055744029714;Okapi;4.32
42472;4055744029790;Wolfsmutter mit Welpen;5.88
42473;4055744029806;Grizzlyb.-Mutter+Jung;5.88
42474;4055744029813;Schleich Lernk.Wild L;7.65
42477;4055744029837;Spielteppich Wild Life;21
15009;4055744029721;Spinosaurus;11.25
15010;4055744029356;Giganotosaurus;11.25
15011;4055744028304;Dimetrodon;5.7
