Artikelnummer;EAN Code;Bezeichnung;St. In VE;Info;Netto;UVP;Warengruppe;Rabattgruppe;MWS;
13734;4005086137349;Shire Hengst;5;;5.25;8.99;43;1;1;
13735;4005086137356;Shire Stute;5;;5.25;8.99;43;1;1;
13743;4005086137431;Schaf;5;;2.78;4.99;43;1;1;
13744;4005086137448;Schaefchen;5;;2.20;3.99;43;1;1;
13746;4005086137462;Esel Fohlen;5;;2.20;3.99;43;1;1;
13749;4005086137493;Friese Stute;5;;4.32;7.99;43;1;1;
13756;4005086137561;Trakehner Hengst;5;;4.32;7.99;43;1;1;
13757;4005086137578;Trakehner Stute;5;;4.32;7.99;43;1;1;
13758;4005086137585;Trakehner Fohlen;5;;2.78;4.99;43;1;1;
13760;4005086137608;Knabstrupper Fohlen;5;;2.78;4.99;43;1;1;
13761;4005086137615;Araber Stute;5;;4.32;7.99;43;1;1;
13762;4005086137622;Araber Fohlen;5;;2.78;4.99;43;1;1;
13769;4005086137691;Knabstrupper Stute;5;;4.32;7.99;43;1;1;
13770;4005086137707;Katze, stehend;5;;2.20;3.99;43;1;1;
13771;4005086137714;Katze, sitzend;5;;2.20;3.99;43;1;1;
13772;4005086137721;Esel;5;;3.38;5.99;43;1;1;
13773;4055744027871;Tinker Stute;5;;4.32;7.99;43;1;1;
13774;4055744027864;Tinker Fohlen;5;;2.78;4.99;43;1;1;
13782;4005086137820;Schwein;5;;2.78;4.99;43;1;1;
13783;4005086137837;Ferkel, stehend;5;;2.20;3.99;43;1;1;
13790;4005086137905;Island Pony Stute;5;;3.38;5.99;43;1;1;
13792;4005086137929;Friese Hengst;5;;4.32;7.99;43;1;1;
13793;4005086137936;Andalusier Stute;5;;4.32;7.99;43;1;1;
13794;4005086137943;Pinto Hengst;5;;4.32;7.99;43;1;1;
13796;4005086137967;Bulle Schwarzbunt;5;;4.32;7.99;43;1;1;
13797;4005086137974;Kuh Schwarzbunt;5;;4.32;7.99;43;1;1;
13798;4005086137981;Kalb Schwarzbunt;5;;2.78;4.99;43;1;1;
13799;4005086137998;Gans;5;;2.20;3.99;43;1;1;
13800;4005086138001;Fleckvieh-Bulle;5;;4.32;7.99;43;1;1;
13801;4005086138018;Fleckvieh-Kuh;5;;4.32;7.99;43;1;1;
13802;4005086138025;Fleckvieh-Kalb;5;;2.78;4.99;43;1;1;
13803;4005086138032;Pinto Fohlen;5;;2.78;4.99;43;1;1;
13804;4005086138049;Tennessee Walker Fohl.;5;;2.78;4.99;43;1;1;
13805;4005086138056;Mustang Hengst;5;;4.32;7.99;43;1;1;
13806;4005086138063;Mustang Stute;5;;4.32;7.99;43;1;1;
13807;4005086138070;Mustang Fohlen;5;;2.78;4.99;43;1;1;
13808;4005086138087;Clydesdale Wallach;5;;5.25;8.99;43;1;1;
13809;4005086138094;Clydesdale Stute;5;;5.25;8.99;43;1;1;
13810;4005086138100;Clydesdale Fohlen;5;;2.78;4.99;43;1;1;
13811;4005086138117;Araber Hengst;5;;4.32;7.99;43;1;1;
13812;4055744007095;Haflinger Stute;5;;4.32;7.99;43;1;1;
13813;4055744007118;Haflinger Hengst;5;;4.32;7.99;43;1;1;
13814;4055744007132;Haflinger Fohlen;5;;2.78;4.99;43;1;1;
13815;4055744007156;Island Pony Hengst;5;;3.38;5.99;43;1;1;
13817;4055744011740;Hannoveraner Stute;5;;4.32;7.99;43;1;1;
13818;4055744011757;Hannoveraner Fohlen;5;;2.78;4.99;43;1;1;
13819;4055744012358;Lipizzaner Stute;5;;4.32;7.99;43;1;1;
13820;4055744012365;Lipizzaner Fohlen;5;;2.78;4.99;43;1;1;
13821;4055744012372;Andalusier Hengst;5;;4.32;7.99;43;1;1;
13822;4055744012389;Andalusier Fohlen;5;;2.78;4.99;43;1;1;
13823;4055744012440;Ente;5;;2.20;3.99;43;1;1;
13824;4055744012457;Erpel;5;;2.20;3.99;43;1;1;
13825;4055744012464;Hahn;5;;2.20;3.99;43;1;1;
13826;4055744012471;Henne;5;;2.20;3.99;43;1;1;
13827;4055744012488;Kaninchen;5;;2.20;3.99;43;1;1;
13828;4055744012495;Ziege;5;;2.78;4.99;43;1;1;
13829;4055744012501;Zicklein;5;;2.20;3.99;43;1;1;
13830;4055744012518;Pinto Stute;5;;4.32;7.99;43;1;1;
13831;4055744012525;Tinker Hengst;5;;4.32;7.99;43;1;1;
13832;4055744012532;Tennessee Walk.Wallach;5;;4.32;7.99;43;1;1;
13833;4055744012549;Tennessee Walker Stute;5;;4.32;7.99;43;1;1;
13834;4055744012556;Labrador Retriev.Huend;5;;2.78;4.99;43;1;1;
13835;4055744012563;Labrador Retriev.Welpe;5;;2.20;3.99;43;1;1;
13836;4055744012570;Katze;5;;2.20;3.99;43;1;1;
13837;4055744011764;Hannoveraner Wallach;5;;4.32;7.99;43;1;1;
13838;4055744013751;Araberpinto Stute;5;;4.32;7.99;43;1;1;
13839;4055744013768;Araber Pinto Fohlen;5;;2.78;4.99;43;1;1;
13840;4055744013775;Araberpinto Hengst;5;;4.32;7.99;43;1;1;
14525;4005086145252;Tyrannosaurus Rex;1;;11.25;19.99;43;1;1;
14531;4005086145313;Pentaceratops;1;;7.45;12.99;43;1;1;
14542;4005086145429;Spinosaurus, violett;1;;11.25;19.99;43;1;1;
14543;4005086145436;Giganotosaurus, orange;1;;11.25;19.99;43;1;1;
14567;4005086145672;Dilophosaurus;1;;7.45;12.99;43;1;1;
14568;4055744007163;Stegosaurus;1;;7.45;12.99;43;1;1;
14569;4005086145696;Dimetrodon;1;;5.70;9.99;43;1;1;
14574;4055744007170;Barapasaurus;1;;11.25;19.99;43;1;1;
14575;4005086145757;Dunkleosteus;1;;8.35;14.99;43;1;1;
14576;4055744007194;Herrerasaurus;1;;8.35;14.99;43;1;1;
14580;4055744011610;Allosaurus;1;;8.35;14.99;43;1;1;
14581;4055744011603;Brachiosaurus;1;;11.25;19.99;43;1;1;
14582;4055744011627;Utahraptor;1;;5.70;9.99;43;1;1;
14583;4055744013706;Kentrosaurus;1;;7.45;12.99;43;1;1;
