Artikelnummer;Artikelbezeichnung;EAN;Netto
60000;Zoorino-Messlatte, 100 cm    ;4060848600004;16.55
60007;Movella, Garderobe, 74 x 20,5;4060848600073;18.95
60009;Hanna, Hampelmann, 26 cm     ;4060848600097;7.5
60901;Alphabet A, 4er Set          ;4060848609014;1.24
60902;Alphabet B, 4er Set          ;4060848609021;1.24
60903;Alphabet C, 4er Set          ;4060848609038;1.24
60904;Alphabet D, 4er Set          ;4060848609045;1.24
60905;Alphabet E, 4er Set          ;4060848609052;1.24
60906;Alphabet F, 4er Set          ;4060848609069;1.24
60907;Alphabet G, 4er Set          ;4060848609076;1.24
60908;Alphabet H, 4er Set          ;4060848609083;1.24
60909;Alphabet I, 4er Set          ;4060848609090;1.24
60910;Alphabet J, 4er Set          ;4060848609106;1.24
60911;Alphabet K, 4er Set          ;4060848609113;1.24
60912;Alphabet L, 4er Set          ;4060848609120;1.24
60913;Alphabet M, 4er Set          ;4060848609137;1.24
60914;Alphabet N, 4er Set          ;4060848609144;1.24
60915;Alphabet O, 4er Set          ;4060848609151;1.24
60916;Alphabet P, 4er Set          ;4060848609168;1.24
60917;Alphabet Q, 4er Set          ;4060848609175;1.24
60918;Alphabet R, 4er Set          ;4060848609182;1.24
60919;Alphabet S, 4er Set          ;4060848609199;1.24
60920;Alphabet T, 4er Set          ;4060848609205;1.24
60921;Alphabet U, 4er Set          ;4060848609212;1.24
60922;Alphabet V, 4er Set          ;4060848609229;1.24
60923;Alphabet W, 4er Set          ;4060848609236;1.24
60924;Alphabet X, 4er Set          ;4060848609243;1.24
60925;Alphabet Y, 4er Set          ;4060848609250;1.24
60926;Alphabet Z, 4er Set          ;4060848609267;1.24
61000;Greifspaÿ Kugel, 9 cm        ;4060848610003;3.45
61001;Rolldi, 15 cm                ;4060848610010;8
61002;Rollmi, 13 cm                ;4060848610027;8
61004;Cubinello, Würfel, 6 cm      ;4060848610041;5.15
61005;Catina, Katzen-Greifling, 8,5;4060848610058;4.65
61006;Cubellino, Greifling, 9 cm   ;4060848610065;6.35
61007;Rondello, Greifling, 7,5 cm  ;4060848610072;5.75
61008;Space, Greiflingball, 11,5 cm;4060848610089;9.95
61009;Rombino, Greifling, 9 cm     ;4060848610096;3.95
61010;Girello, Greifling, 11 cm    ;4060848610102;6.15
61011;Limbo, Greifling, 9 cm       ;4060848610119;3.45
61013;Trapezini, Wagenkette, 63 cm ;4060848610133;9.45
61014;Collina, Wagenkette, 63 cm   ;4060848610140;9.75
61015;Rosali, Wagenkette, 63 cm    ;4060848610157;9.75
61016;Crocolini, Wagenkette, 63 cm ;4060848610164;9.75
61017;Amici, Wagenkette, 63 cm     ;4060848610171;9.75
61018;Piepolini, Wagenkette, 63 cm ;4060848610188;9.45
61019;Crocolini, Schnullerkette, 21;4060848610195;4.75
61020;Collini Frosch, Schnullerkett;4060848610201;4.75
61021;Rosali, Schnullerkette, 21 cm;4060848610218;4.75
61022;Collini Giraffe, Schnullerket;4060848610225;4.75
61025;Giralo, Greifling, eckig, 12 ;4060848610256;6.35
61027;Girali, Stielgreifling, 10 cm;4060848610270;6.35
61028;Rolina, Lok-Greifling, 8,5 cm;4060848610287;6.35
61030;Topino, Maus-Greifling, 8 cm ;4060848610300;4.75
61031;Erik, Greifling, 17 cm       ;4060848610317;6.35
61032;Girollo, Greifspielzeug, 7 cm;4060848610324;4.75
61033;Abacus, 8 cm                 ;4060848610331;4.75
61034;Mikado, Greifling, 8,5 cm    ;4060848610348;6.65
61035;Quietschkugel, 4x1 im Polybeu;4060848610355;2.35
61036;Girondo, Greifling, rund, 10 ;4060848610362;4.75
61037;Zoolini Giraffe, 7 cm        ;4060848610379;6.65
61038;Rollina, sortiert, 3x1 im Pol;4060848610386;6.35
61039;Sonato, Auto, 7 cm           ;4060848610393;6.35
61040;Zoolini Krokodil, 8 cm       ;4060848610409;6.65
61041;Vermino, Wagenkette, 63 cm   ;4060848610416;9.75
61042;Tondelli, rollender Greifling;4060848610423;4.65
61043;Zippelzappel, Minitrapez, 16 ;4060848610430;8
61044;Klapper-Kroko, 10 cm         ;4060848610447;6.35
61045;Klappadu, Minitrapez, 19 cm  ;4060848610454;8
61046;Klingelu, Minitrapez, 15,5 cm;4060848610461;8
61047;Musina, Spieltrapez, 60 cm   ;4060848610478;30.1
61048;Topeto, 7 cm                 ;4060848610485;6.35
61049;Pepito, mit Klettverschluÿ, 8;4060848610492;7.85
61050;Pia Iah, mit Klettverschluÿ, ;4060848610508;7.85
61051;Wackel Pepito                ;4060848610515;7.1
61052;Wackel Liese                 ;4060848610522;7.1
61053;Wackel Susi                  ;4060848610539;7.1
61054;Benno Hund, Schnullerkette, 2;4060848610546;5.5
