Artikelnummer;EAN;Bezeichnung;Netto
23291;4001190232918;Regenschirm Sammy Samoa.;7.15
23324;4001190233243;Regenschirm Pinky Queeny.;7.15
23421;4001190234219;Regenschirm Frido Firefig;7.15
23769;4001190237692;Rucksack klein Kily Keepe;13.35
23795;4001190237951;Trinkflasche Kily Keeper.;4.8
23797;4001190237975;Regenschirm Kily Keeper.;7.15
23814;4001190238149;Brustbeutel Kily Keeper;6.7
23978;4001190239788;Trinkflaschenverschluß ro;1
23979;4001190239795;Trinkflaschenverschluß gr;1
23980;4001190239801;Trinkflaschenverschluß d-;1
24002;4001190240029;Rucksack klein Florentine;13.35
24216;4001190242160;Mini Rucksack Drache.;11.9
24218;4001190242184;Mini Rucksack Hase.;11.9
24219;4001190242191;Mini Rucksack Hund.;11.9
24427;4001190244270;Melamin Schüssel Semmel B;2.4
24428;4001190244287;Melamin Tasse Semmel Bunn;2.4
24429;4001190244294;Melamin Teller Semmel Bun;3.35
24430;4001190244300;Melamin Schüssel Lolo Lom;2.4
24431;4001190244317;Melamin Tasse Lolo Lombar;2.4
24432;4001190244324;Melamin Teller Lolo Lomba;3.35
24433;4001190244331;Melamin Schüssel Bungee B;2.4
24434;4001190244348;Melamin Tasse Bungee Bunn;2.4
24435;4001190244355;Melamin Teller Bungee Bun;3.35
24436;4001190244362;Melamin Schüssel Schnuggi;2.4
24437;4001190244379;Melamin Tasse Schnuggi;2.4
24438;4001190244386;Melamin Teller Schnuggi;3.35
24439;4001190244393;Melamin Schüssel Rainbow;2.4
24440;4001190244409;Melamin Tasse Rainbow Rab;2.4
24441;4001190244416;Melamin Teller Rainbow Ra;3.35
24445;4001190244454;Trinkflasche Florentine.;4.8
24448;4001190244485;Regenschirm Florentine;7.15
24452;4001190244522;Rucksack groß Florentine;14.5
24458;4001190244584;Brustbeutel Florentine;7.15
24472;4001190244720;Brotzeitbox Pinky Queeny;3.8
24473;4001190244737;Brotzeitbox Sammy Samoa;3.8
24474;4001190244744;Brotzeitbox Frido Firefig;3.8
24475;4001190244751;Brotzeitbox Pony Sue;3.8
24482;4001190244829;Trinkflasche Pinky Queeny;4.8
24483;4001190244836;Trinkflasche Sammy Samoa.;4.8
24484;4001190244843;Trinkflasche Frido Firefi;4.8
24489;4001190244898;Trinkflasche Pony Sue.;4.8
24518;4001190245185;Melamin Teller Wild & Ber;3.35
24519;4001190245192;Melamin Schüssel Wild & B;2.4
24520;4001190245208;Melamin Tasse Wild & Berr;2.4
24543;4001190245437;Trolley Pinky Queeny.;33.35
24546;4001190245468;Trolley Florentine.;33.35
24549;4001190245499;Trolley Kily Keeper.;33.35
24550;4001190245505;Trolley Sammy Samoa.;33.35
24613;4001190246137;Melamin Tasse Racing Rabb;2.4
24614;4001190246144;Melamin Teller Racing Rab;3.35
24615;4001190246151;Melamin Schüssel Racing R;2.4
24619;4001190246199;Mini Rucksack Igel;11.9
24621;4001190246212;Mini Rucksack Elefant;11.9
24623;4001190246236;Mini Rucksack Pinguin;11.9
24676;4001190246762;Trinkflasche Traffic.;4.8
24678;4001190246786;Brotzeitbox Traffic;3.8
24732;4001190247325;Spardose Sammy Samoa.;3.8
24733;4001190247332;Spardose Frido Firefighte;3.8
24734;4001190247349;Spardose Kily Keeper.;3.8
24735;4001190247356;Spardose Pinky Queeny.;3.8
24736;4001190247363;Spardose Florentine.;3.8
24737;4001190247370;Spardose Apfelherz.;3.8
24738;4001190247387;Brotzeitbox Apfelherz;3.8
24739;4001190247394;Trinkflasche Apfelherz.;4.8
24768;4001190247684;Trinkflasche Forest Grizz;4.8
24775;4001190247752;Trinkflasche Finky Pinky.;4.8
24776;4001190247769;Brotzeitbox Finky Pinky;3.8
24780;4001190247806;Brotzeitbox Forest Grizzl;3.8
24781;4001190247813;Brotzeitbox Kily Keeper;3.8
24782;4001190247820;Brotzeitbox Florentine;3.8
24853;4001190248537;Melamin Teller Bellarella;3.35
24854;4001190248544;Melamin Schüssel Bellarel;2.4
24855;4001190248551;Melamin Tasse Bellarella;2.4
24856;4001190248568;Besteckset Bellarella;2.4
24869;4001190248698;Besteckset Wild & Berry;2.4
24870;4001190248704;Besteckset Rainbow Rabbit;2.4
24871;4001190248711;Besteckset Schnuggi;2.4
24872;4001190248728;Besteckset Bungee Bunny;2.4
24873;4001190248735;Besteckset Racing Rabbit;2.4
24874;4001190248742;Besteckset Semmel Bunny;2.4
24875;4001190248759;Besteckset Lolo Lombardo;2.4
24901;4001190249015;Kulturtasche Kily Keeper;7.15
24906;4001190249060;Nackenkissen pink;6.2
24908;4001190249084;Nackenkissen blau;6.2
24912;4001190249121;Rucksack groß Pinky Queen;16.7
24913;4001190249138;Rucksack klein Pinky Quee;14.5
24915;4001190249152;Brustbeutel Pinky Queeny;6.2
24916;4001190249169;Kuturtasche Pinky Queeny;7.15
24917;4001190249176;Hartschalen-Trolley Pinky;38.1
24918;4001190249183;Rucksack Bär;14.5
24919;4001190249190;Rucksack Fuchs;14.5
24920;4001190249206;Rucksack Frosch;14.5
24921;4001190249213;Rucksack Hase;14.5
24922;4001190249220;Rucksack Tiger;14.5
24924;4001190249244;Pallimchen blau Soft Play;28.6
