Artikelnummer;Bezeichnung;Netto;EAN
4639;Labrador Welpe Luzie (ca. 25 cm);8.75 €;4029753046390
5345;Plüsch-Felix (ca. 24 cm);6.30 €;4029753053459
5346;Plüsch-Felix (ca. 31 cm);9.75 €;4029753053466
5347;Plüsch-Felix (ca. 40 cm);12.65 €;4029753053473
8807;Mein erster Brummkreisel Die Lieben Sieben;4.85 €;4029753088079
10182;Kinder-Geschirr aus Metall Fröhliche Tupfen Garden Kids;12.20 €;4029753101822
10290;Zaubermaltafel Die Lieben Sieben;6.30 €;4029753102904
10376;Luftballons Fröhliche Tupfen Garden Kids (8 St. sort.);2.20 €;4029753103765
10402;Fadenspiele Bunte Geschenke;1.90 €;4029753104021
10428;Puppentragetasche ;14.65 €;4029753104281
10431;Schutzengel-Reflektor Ich pass auf dich auf! Bunte Geschenke;1.20 €;4029753104311
10478;Babysöckchen BabyGlück (3 Paar sort.), one size;4.35 €;4029753104786
10480;Set für Hand- und Fußabdruck BabyGlück, rosa;8.25 €;4029753104809
10493;Großer Trolley Einhorn-Paradies ;43.95 €;4029753104939
10773;Set für Hand- und Fußabdruck BabyGlück, hellblau;8.25 €;4029753107732
10793;Glücksschweinchen, sort.;2.90 €;4029753107930
10825;Deko-Buchstabe A BabyGlück;0.70 €;4029753108258
10826;Deko-Buchstabe B BabyGlück;0.70 €;4029753108265
10827;Deko-Buchstabe C BabyGlück;0.70 €;4029753108272
10828;Deko-Buchstabe D BabyGlück;0.70 €;4029753108289
10829;Deko-Buchstabe E BabyGlück;0.70 €;4029753108296
10830;Deko-Buchstabe F BabyGlück;0.70 €;4029753108302
10831;Deko-Buchstabe G BabyGlück;0.70 €;4029753108319
10832;Deko-Buchstabe H BabyGlück;0.70 €;4029753108326
10833;Deko-Buchstabe I BabyGlück;0.70 €;4029753108333
10834;Deko-Buchstabe J BabyGlück;0.70 €;4029753108340
10835;Deko-Buchstabe K BabyGlück;0.70 €;4029753108357
10836;Deko-Buchstabe L BabyGlück;0.70 €;4029753108364
10837;Deko-Buchstabe M BabyGlück;0.70 €;4029753108371
10838;Deko-Buchstabe N BabyGlück;0.70 €;4029753108388
10839;Deko-Buchstabe O BabyGlück;0.70 €;4029753108395
10840;Deko-Buchstabe P BabyGlück;0.70 €;4029753108401
10841;Deko-Buchstabe Q BabyGlück;0.70 €;4029753108418
10842;Deko-Buchstabe R BabyGlück;0.70 €;4029753108425
10843;Deko-Buchstabe S BabyGlück;0.70 €;4029753108432
10844;Deko-Buchstabe T BabyGlück;0.70 €;4029753108449
10845;Deko-Buchstabe U BabyGlück;0.70 €;4029753108456
10846;Deko-Buchstabe V BabyGlück;0.70 €;4029753108463
10847;Deko-Buchstabe W BabyGlück;0.70 €;4029753108470
10848;Deko-Buchstabe X BabyGlück;0.70 €;4029753108487
10849;Deko-Buchstabe Y BabyGlück;0.70 €;4029753108494
10850;Deko-Buchstabe Z BabyGlück;0.70 €;4029753108500
10949;Schnitzmesser Nature Zoom;8.25 €;4029753109491
10952;Kompass Nature Zoom;4.85 €;4029753109521
10953;Taschenlampe Nature Zoom;4.85 €;4029753109538
10972;Putzzeug Pferdefreunde;9.75 €;4029753109729
11036;Zauberstab Prinzessin Lillifee;1.40 €;4029753110367
11062;Familienspiel Mit Felix um die Welt;12.20 €;4029753110626
11095;Zauberband Prinzessin Lillifee;5.43 €;4029753110954
11099;Minirassel Lieblingstiere BabyGlück, sort.;2.90 €;4029753110992
11129;XXL Trolley Felix (Erw. Collection);72.50 €;4029753111296
11135;Minirassel Esel BabyGlück;4.85 €;4029753111357
11141;Linealset T-Rex World;1.90 €;4029753111418
11149;Beißring BabyGlück, rosa;2.40 €;4029753111494
11154;Beißring BabyGlück, hellblau;2.40 €;4029753111548
11201;Kleiner Trolley Felix;36.55 €;4029753112019
11218;Koffer mit Holzleisten Felix (Erw. Collection);14.65 €;4029753112187
11332;Doppel-Kirschlollies Bunte Geschenke;0.18 €;4029753113320
11349;U-Heft Hülle BabyGlück;5.80 €;4029753113498
11370;Stifteköcher T-Rex World;3.85 €;4029753113702
11391;Alu-Trinkflasche Fröhliche Tupfen Garden Kids (0,4 l);4.85 €;4029753113917
11394;Zauber-Regenschirm Prinzessin Lillifee;9.75 €;4029753113948
11401;Pferd Max Pferdefreunde (ca. 20 cm);8.75 €;4029753114013
11402;Pferd Nixe Pferdefreunde (ca. 20 cm);8.75 €;4029753114020
11419;Boxpuzzle Im Dinopark (72 Teile);3.85 €;4029753114198
11420;Boxpuzzle In der Stadt (72 Teile);3.85 €;4029753114204
11421;Boxpuzzle Auf dem Land (72 Teile);3.85 €;4029753114211
11422;Boxpuzzle Hänsel und Gretel (48 Teile);3.85 €;4029753114228
11423;Boxpuzzle Schneewittchen und die sieben Zwerge (48 Teile);3.85 €;4029753114235
11424;Puzzle-Set Unterwegs mit Schiff und Zug (2 x 30 Teile);3.85 €;4029753114242
11426;Puzzle-Set Auf der Baustelle und der Feuerwache (2 x 20 T.);3.85 €;4029753114266
11427;Puzzle-Set Urlaub in den Bergen und am Meer (2 x 20 Teile);3.85 €;4029753114273
11429;Meine ersten Puzzles - Fahrzeuge  (4/6/9/12 Teile);4.85 €;4029753114297
11432;Boxpuzzle Auf der Weide Pferdefreunde (72 Teile);3.85 €;4029753114327
11532;Gummitwist-Spiele Bunte Geschenke;2.40 €;4029753115324
11554;"Stempel ""Lern die Uhr"" Bunte Geschenke";1.40 €;4029753115546
11574;Lotto Die Lieben Sieben;4.85 €;4029753115744
11576;Kartenspiel Dinos zocken T-Rex World;2.90 €;4029753115768
11581;Flaschenzug-Bauset Nature Zoom;9.75 €;4029753115812
11583;Entdecker-Tool Nature Zoom;2.90 €;4029753115836
11584;Fernglas Nature Zoom;9.75 €;4029753115843
11604;Mini-Radierer Pferdefreunde;0.90 €;4029753116048
11641;Schwein im Glück (zum Aufziehen) Viel Glück;1.70 €;4029753116413
11644;Mein Glücksschweinchen (Keramik) Viel Glück;1.70 €;4029753116444
11732;Stoff-Fotoalbum BabyGlück;12.53 €;4029753117328
11733;Schnuffeltuch Esel BabyGlück;7.66 €;4029753117335
11785;"Etui-Box Prinzessin Lillifee ""Feenball""";9.75 €;4029753117854
11812;Kleine Butterbrotdose Mein kleiner Ponyhof;2.70 €;4029753118127
11931;Rahmenpuzzle mit Fingerlochstanzung Im Garten (8 Teile);2.90 €;4029753119315
11950;Wasserbomben Garden Kids (50 St. sort.);1.20 €;4029753119506
11952;Rahmenpuzzle mit Fingerlochstanzung Spielzeug (8 Teile);2.90 €;4029753119520
11982;Boxpuzzle - Dornröschen (48 Teile);3.85 €;4029753119827
11997;Rahmenpuzzle - So viele Berufe (24 Teile);2.90 €;4029753119971
12019;Wäschebeutel Reisezeit (ca. 40 x 53 cm);3.85 €;4029753120199
12024;Planschbecken Fröhliche Tupfen Garden Kids;9.75 €;4029753120243
12042;Alu-Trinkflasche Mein kleiner Ponyhof (0,4 l);4.85 €;4029753120427
12093;3 in 1 Karabinerhaken Nature Zoom;2.40 €;4029753120939
12115;Krummsäbel Capt'n Sharky;6.30 €;4029753121158
12134;Kartenspiel - Mau Mau Pferdefreunde ;2.90 €;4029753121349
12137;Kl. Schlenkerhund Mops Otto  Lustige Tierparade;7.30 €;4029753121370
12142;Meine ersten Puzzles - Im Einsatz (4/6/9/12 Teile);4.85 €;4029753121424
12175;Luftmatratze Fröhliche Tupfen Garden Kids;4.85 €;4029753121752
12205;Bleistift mit Topper Pferdefreunde, sort.;1.90 €;4029753122056
12207;Softball Die Lieben Sieben;2.40 €;4029753122070
12225;Taschendrachen Bunte Geschenke, sort.;3.35 €;4029753122254
12244;Schleckmuscheln Bunte Geschenke, sort.;0.15 €;4029753122445
12245;Schnuffeltuch Ente Nelli;6.30 €;4029753122452
12337;Activity-Spirale Lämmchen BabyGlück;12.20 €;4029753123374
12350;Activity-Esel BabyGlück;9.75 €;4029753123503
12357;Esel BabyGlück (ca. 50 cm);15.35 €;4029753123572
12360;Rahmenpuzzle - Im Parkhaus (40 Teile);2.90 €;4029753123602
12435;Sammelmappe A3 Die Lieben Sieben;3.35 €;4029753124357
12437;Memo Die Lieben Sieben;4.85 €;4029753124371
12491;Roulette Entscheidungshelfer TU ES ...! Urban & Gray, sort.;2.40 €;4029753124913
12511;Briefpapier-Set Pferdefreunde;4.85 €;4029753125118
12521;Mini Snackboxen Baby Glück (2 St. sort.);2.40 €;4029753125217
12539;Französische Bulldogge Paulinchen Lustige Tierparade;6.80 €;4029753125392
12552;Ponyleine Mein kleiner Ponyhof;6.30 €;4029753125521
12556;Butterbrotdose Tabaluga;2.90 €;4029753125569
12618;Softball BabyGlück;2.40 €;4029753126184
12621;Puppentrage BabyGlück;12.20 €;4029753126214
12622;Häkel-Rassel blau BabyGlück;4.35 €;4029753126221
12672;Boxpuzzle Alles klar zum Ankern! Capt'n Sharky (72 Teile);3.85 €;4029753126726
12674;Boxpuzzle Auf der Sommerweide Pferdefreunde (100 Teile);3.85 €;4029753126740
12695;Rahmenpuzzle Gute Nacht (24 Teile);2.90 €;4029753126955
12697;Rahmenpuzzle Alles von der Baustelle (40 Teile);2.90 €;4029753126979
12698;Rahmenpuzzle Alles fliegt und schwimmt (40 Teile);2.90 €;4029753126986
12699;Boxpuzzle Treffen der Waldtiere (48 Teile);3.85 €;4029753126993
12700;Boxpuzzle Im Wichtelwald (48 Teile);3.85 €;4029753127006
12701;Boxpuzzle Auf dem Fußballplatz (48 Teile);3.85 €;4029753127013
12702;Boxpuzzle Tiere im Dschungel (72 Teile);3.85 €;4029753127020
12703;Boxpuzzle Tiere im Meer (72 Teile);3.85 €;4029753127037
12716;Mini Snackbox Die Lieben Sieben (2 St.);2.40 €;4029753127167
12755;Fahrrad-Flickzeug Blütenzeit;3.35 €;4029753127556
12756;Häkel-Rassel rosa BabyGlück;4.35 €;4029753127563
12758;Kleine Butterbrotdose Feuerwehr (Wenn ich mal groß bin);2.70 €;4029753127587
12767;Alu-Trinkflasche Tabaluga (0,4 l);4.85 €;4029753127679
12769;Alu-Trinkflasche Pferdefreunde (0,4 l);5.80 €;4029753127693
12771;Zauberhafter Papierkorb Prinzessin Lillifee;4.85 €;4029753127716
12773;Papierkorb Capt'n Sharky;4.85 €;4029753127730
12775;Große Fahrradklingel Hingetupft;6.30 €;4029753127754
12776;Große Fahrradklingel Glücksbote;6.30 €;4029753127761
12783;Melamin-Tasse Prinzessin Lillifee;2.90 €;4029753127839
12785;Melamin-Teller Prinzessin Lillifee;2.90 €;4029753127853
12786;Melamin-Teller Capt`n Sharky;2.90 €;4029753127860
12787;Melamin-Schale Prinzessin Lillifee;2.90 €;4029753127877
12788;Melamin-Schale Capt`n Sharky;2.90 €;4029753127884
12789;Prinzessinnen-Besteck Prinzessin Lillifee;4.85 €;4029753127891
12790;Kinderbesteck Capt'n Sharky;4.85 €;4029753127907
12791;Melamin-Teller Tabaluga;2.90 €;4029753127914
12792;Melamin-Becher Tabaluga;2.40 €;4029753127921
12795;Vorratsdose - I love my Garden;6.30 €;4029753127952
12805;Schreibtischauflage Prinzessin Lillifee;7.30 €;4029753128058
12812;Mini-Rucksack Ente Nelli;8.25 €;4029753128126
12819;Rucksack Tabaluga;11.20 €;4029753128195
12827;Kulturtasche Einhorn-Paradies ;4.85 €;4029753128270
12829;Taschenschirm Pferdefreunde;9.75 €;4029753128294
12830;Taschenschirm Capt'n Sharky;9.75 €;4029753128300
12833;Milchzahndose Bunte Geschenke, sort.;1.20 €;4029753128331
12836;Springseil Einhorn-Paradies ;3.85 €;4029753128362
12837;Springseil Pferdefreunde;3.85 €;4029753128379
12843;Reise-Dokumentenmappe Reisezeit;3.85 €;4029753128430
12846;Schreibtischauflage Capt'n Sharky;7.30 €;4029753128461
12850;Kleine Fahrradklingel Weg da!;3.35 €;4029753128508
12853;Traubenzucker Uhren Bunte Geschenke, sort.;0.30 €;4029753128539
12855;Spieluhr Einhorn  Einhorn-Paradies ;9.75 €;4029753128553
12858;Linealset Pferdefreunde;1.90 €;4029753128584
12892;Kunterbuntes Nachtlicht Einhorn  Einhorn-Paradies ;4.85 €;4029753128928
12893;Zauberhandtuch Mein kleiner Ponyhof;2.40 €;4029753128935
12904;Armbänder zum Selbstgestalten Einhorn-Paradies ;2.90 €;4029753129048
12916;Nackenkissen Reisezeit;9.75 €;4029753129161
12927;Seeschlange Wassershooter Capt'n Sharky;5.80 €;4029753129277
12960;Zauberhafte Einhorn-Figuren  Einhorn-Paradies, sort. ;1.90 €;4029753129604
12961;Partyteller Pferdefreunde (8 St.);1.40 €;4029753129611
12962;Partybecher Pferdefreunde (8 St.);1.40 €;4029753129628
12963;Einladungskarten Pferdefreunde (8 St.);1.90 €;4029753129635
12964;Partytüten Pferdefreunde (8 St.);0.90 €;4029753129642
12969;6-Farb-Kuli Pferdefreunde;1.40 €;4029753129697
12977;Doppelanspitzer Pferdefreunde;1.90 €;4029753129772
12984;Etagere (Bastin);9.75 €;4029753129840
12987;Fernglas Hoch in die Luft;6.30 €;4029753129871
12994;Projektortaschenlampe Capt'n Sharky;6.30 €;4029753129949
12995;Pflasterstrips Die Lieben Sieben (10 St.);0.90 €;4029753129956
13048;Großes Allzweck-Täschchen Reisezeit;2.40 €;4029753130488
13049;Mini-Taschenlampe Nature Zoom;2.40 €;4029753130495
13055;Taschenmesser Nature Zoom (mit 17 Funktionen);8.25 €;4029753130556
13059;Schnitzmesser bunt;8.25 €;4029753130594
