Artikelnummer;EAN;Bezeichnung;Netto
450;9336592006672;Waboba TIDES, im Display;4.95 €
452;4001078004521;Waboba SEA SKIPPERS, im Display;4.70 €
454;9336592006634;Waboba WABOJI, im Display;4.70 €
505;4001078005054;Waboba WINGMAN, im Display;112.80 €
505A;8400019302232;Waboba WINGMAN 90' Sunset;4.70 €
505B;8400019302300;Waboba WINGMAN Color Wheel;4.70 €
505C;8400019302478;Waboba WINGMAN Feather Splatte;4.70 €
505D;8400019302546;Waboba WINGMAN Groovie Rainbow;4.70 €
505E;8400019302614;Waboba WINGMAN Paradise;4.70 €
505F;8400019302782;Waboba WINGMAN Compass;4.70 €
506;9336592006283;Waboba GET OUT;12.00 €
507;9336592006573;Waboba VOLI;15.70 €
508;9336592006603    ;Waboba FLYER, im Display;6.00 €
509;9336592006535;Waboba SKIPPERS, im Display;4.70 €
510;9336592006528;Waboba ZAG, im Display;4.70 €
514;9336592006474;Waboba LACROSSE;24.50 €
516;9336592006221;Waboba Handschuh CATCH;15.70 €
519;9336592006177;Waboba SURF, im Display;3.95 €
520;9336592006009;Waboba EXTREME, im Display;4.70 €
521;9336592006047;Waboba EXTREME, im Blister;4.95 €
522;9336592006023;Waboba PRO, im Display;6.15 €
526;4001078005269;Waboba GIANT BALL;11.50 €
532;9336592006061;Waboba PRO, im Blister;6.40 €
535;9336592006160;Waboba STREET, im Display;4.70 €
536;9336592006191;Waboba STREET, im Blister;4.95 €
539;9336592006184;Waboba SURF, im Blister;4.20 €
542;9336592006207;Waboba MOON, im Display;4.70 €
543;9336592006214;Waboba MOON, im Blister;4.95 €
544;9336592006313;Waboba VIBE, im Display;4.70 €
545;9336592006511;Waboba VIBE, im Blister;4.95 €
546;9336592006306;Waboba LAVA, im Display;4.70 €
547;9336592006351;Waboba LAVA, im Blister;4.95 €
548;9336592006153;Waboba FETCH, im Display;6.00 €
548A;9336592006269;Waboba FETCH, im Blister;6.25 €
549;840001956001;Waboba WOOFPACK;14.50 €
571;4001078005719;sunflex WASSERSPRITZPISTOLE BUBBLE;2.25 €
573;4001078005733;sunflex WASSERSPRITZPISTOLE DROP;4.50 €
575;4001078005757;sunflex WASSERSPRITZPISTOLE SPLASH;6.80 €
577;4001078005771;sunflex WASSERSPRITZPISTOLE WAVER;8.70 €
578;4001078005788;sunflex WASSERSPRITZER RUCKSACK BEE KIDS;5.70 €
579;4001078005795;sunflex WASSERSPRITZER RUCKSACK PENGUIN KIDS;5.70 €
580;4001078005801;sunflex WASSERSPRITZER RUCKSACK LADYBUG KIDS;5.70 €
2056;4001078020569;sunflex Flights PROFESSIONAL PACK ;0.65 €
2057;4001078020576;sunflex Flights STARTER PACK;0.56 €
3304;4001078033040;sunflex BLAST;4.95 €
3314;4001078033149;sunflex RADIANT ;6.45 €
3324;4001078033248;sunflex RIVAL;7.45 €
3334;4001078033347;sunflex AGGRESSOR;9.95 €
3344;4001078033446;sunflex TYPHOON ;12.45 €
3354;4001078033545;sunflex PERFORMANCE;14.95 €
3364;4001078033644;sunflex ABSOLUTE;19.95 €
3424;4001078034245;sunflex PHANTOM ;6.45 €
3444;4001078034443;sunflex POWER ;9.95 €
3454;4001078034542;sunflex ELITE ;19.95 €
7002;4001078070021;sunflex SHAFTS NYLON;0.41 €
7018;4001078070182;Rings 2BA;0.47 €
7019;4001078070199;Yeoman Clips;0.62 €
7085;4001078070854;sunflex SHAFTS RING;1.21 €
9068;4001078090685;sunflex Kunststoffspitzen MEDIUM TUFFLEX;3.95 €
9069;4001078090692;sunflex Kunststoffspitzen MICRO TUFFLEX;3.95 €
9078;4001078090784;sunflex Kunststoffspitzen MEDIUM TUFFLEX;1.10 €
9079;4001078090791;sunflex Kunststoffspitzen MICRO TUFFLEX;1.10 €
9087;4001078090876;sunflex Kunststoffspitzen MEDIUM TUFFLEX;7.95 €
9088;4001078090883;sunflex Kunststoffspitzen MICRO TUFFLEX;7.95 €
10101;4001078101015;sunflex SCHLÜSSELANHÄNGER;1.30 €
10210;4001078102104;sunflex Outdoor Schläger ZIRCON;12.45 €
10245;4001078102456;sunflex Tischtennisschläger GAME ON ;8.70 €
10250;4001078102500;sunflex Tischtennisset GAME ON;13.50 €
10255;4001078102555;sunflex Tischtennisball GAME ON ;2.45 €
10260;4001078102609;sunflex Tischtennishülle GAME ON;6.80 €
10280;4001078102807;Create your own bat;6.80 €
10292;4001078102920;sunflex PING PONG MANIA;6.80 €
