Artikelnummer;Bezeichnung;NETTO;EAN
920546;ZAUBERWÜRFEL MINI;0.70 €;4032722920546
920935;TATTOO GELSTIFTE GLITZER;2.27 €;4032722920935
923622;FINGER-LIGHTS 6- FACH SORTIERT;0.70 €;4032722923622
926838;RC  BÜCHER-SET,  2-FACH SORTIERT;0.70 €;4032722926838
928009;HOLZ LEHRER-STEMPEL 6ER SET;5.00 €;4032722928009
930743;LEHRERSTEMPEL BASIC 6-FACH SORT.;0.80 €;4032722930743
933300;MR. MAGIC ZAUBERTRICKS;1.80 €;4032722933300
933355;RC SPINNE;0.70 €;4032722933355
933508;MOTIVATIONSHILFEN STEMPELKISSEN;0.80 €;4032722933508
934352;RC HANDY, 4-FACH SORTIERT;0.70 €;4032722934352
934437;RC WERKZEUG 2ER SET, 4-FACH SORT.;0.70 €;4032722934437
934499;RC FUßBALL-SET, 4-FACH SORTIERT;0.70 €;4032722934499
934758;RC FEHLERLÖSCHER;0.70 €;4032722934758
935021;RC DINOSAURIER, 8-FACH SORTIERT;0.70 €;4032722935021
935243;"LEHRERSTEMPEL, ""GÜNTHER, DER BÜCHERWURM""";0.80 €;4032722935243
935380;RC COOLE BUNNYS 2ER SET, 2-FACH SORTIERT;0.70 €;4032722935380
935670;FLUMMI EYEBALL 37MM, 6-FACH SORTIERT;0.95 €;4032722935670
935496;FLUMMI COLOUR SWIRLY 45MM;1.05 €;4032722935496
935601;FLUMMI CURLY PASTELL 43MM, 6-FACH SORT.;1.05 €;4032722935601
935427;RC ENTSCHEIDUNGSWÜRFEL, 4-FACH SORTIERT;0.70 €;4032722935427
935434;FLUMMI STERN 45 MM;1.05 €;4032722935434
935892;HAPPY BIRTHDAY TORTENKERZE;1.35 €;4032722935892
936141;FUNKY LIGHT TASCHENLAMPE MIT KARABINER;1.35 €;4032722936141
936035;MINI KRATZBILDER 16-TEILIG;0.70 €;4032722936035
936097;SCHUTZ(B)ENGEL SCHLÜSSELANHÄNGER A. HOLZ;1.60 €;4032722936097
935922;HAPPY BIRTHDAY ZAHLENKERZE 0;0.57 €;4032722935922
935939;HAPPY BIRTHDAY ZAHLENKERZE 1;0.57 €;4032722935939
935946;HAPPY BIRTHDAY ZAHLENKERZE 2;0.57 €;4032722935946
935953;HAPPY BIRTHDAY ZAHLENKERZE 3;0.57 €;4032722935953
935960;HAPPY BIRTHDAY ZAHLENKERZE 4;0.57 €;4032722935960
935977;HAPPY BIRTHDAY ZAHLENKERZE 5;0.57 €;4032722935977
935984;HAPPY BIRTHDAY ZAHLENKERZE 6;0.57 €;4032722935984
935991;HAPPY BIRTHDAY ZAHLENKERZE 7;0.57 €;4032722935991
936004;HAPPY BIRTHDAY ZAHLENKERZE 8;0.57 €;4032722936004
936042;HAPPY BIRTHDAY ZAHLENKERZE 9;0.57 €;4032722936042
935915;HAPPY BIRTHDAY ZAHLENKERZEN 0-9 SORTIER;0.57 €;4032722935915
936851;RC WEIHNACHTSMÜTZEN 2ER SET;0.70 €;4032722936851
937186;FLUMMI FLOWER POWER 45 MM, 4-FACH SORT.;1.05 €;4032722937186
936837;RC KÜKEN IM EI 2ER SET;0.70 €;4032722936837
937278;RC MAKE-UP SET, 4-FACH SORTIERT;0.70 €;4032722937278
