Artikelnummer;Artikelbezeichnung;EAN;Netto
2076;Kindergarten-Rucksack Prinzes;4026477020767;8.95
2150;Ausmaltasche Mädchen         ;4026477021504;8.95
2151;Ausmaltasche Junge           ;4026477021511;8.95
2211;Kulturtasche Fußballer Fritz ;4026477022112;9.95
2501;Rucksack Hexe Violetta       ;4026477025014;12.45
2519;Geldbörse Hexe Violetta      ;4026477025199;2.75
2523;Faulenzer Hexe Violetta      ;4026477025236;0.006
2619;Geldbörse Lotte              ;4026477026196;2.75
2622;Shopper Lotte                ;4026477026226;9.95
2623;Faulenzer Lotte              ;4026477026233;0.006
2701;Rucksack Pit Planke          ;4026477027018;14.95
2705;Kindergarten-Tasche Pit Plank;4026477027056;14.95
2706;Kindergartentornister Pit Pla;4026477027063;17.45
2709;Reise-/Sporttasche Pit Planke;4026477027094;22.45
2713;Turnbeutel Pit Planke        ;4026477027131;8.95
2719;Geldbörse Pit Planke         ;4026477027193;2.95
2801;Rucksack Mein Ponyhof        ;4026477028015;14.95
2805;Kindergarten-Tasche Mein Pony;4026477028053;14.95
2806;Kindergartentornister Mein Po;4026477028060;17.45
2809;Reise-/Sporttasche Mein Ponyh;4026477028091;22.45
2813;Turnbeutel Mein Ponyhof      ;4026477028138;8.95
2819;Geldbörse Mein Ponyhof       ;4026477028190;2.95
3004;TapirElla Schatzkiste- groß  ;4026477030049;8.95
3005;Schatzkiste- klein           ;4026477030056;6.45
3006;TapirElla Schmuckkästchen    ;4026477030063;6.45
10000;Tapirella Partytüten aus Papi;4026477100001;1.95
10002;Partytüten aus Papier- Prinze;4026477100025;1.95
10003;Partytüten aus Papier- Mein P;4026477100032;1.95
10004;Partytüten aus Papier- Feuerw;4026477100049;1.95
10005;Partytüten aus Papier- Fritz ;4026477100056;1.95
10006;Partytüten aus Papier- Pit Pl;4026477100063;1.95
10007;TapirElla Partytüten aus Papi;4026477100070;1.95
10009;Partytüten aus Papier- Einhor;4026477100094;1.95
10010;Partytüten aus Papier- Arche ;4026477100100;1.95
10012;Tapirella Partytüten aus Papi;4026477100124;1.95
10013;TapirElla Partytüten aus Papi;4026477100131;1.95
10016;TapirElla Partytüten aus Papi;4026477100162;1.95
10017;TapirElla Partytüten aus Papi;4026477100179;1.95
10018;TapirElla Partytüten aus Papi;4026477100186;1.95
10020;TapirElla Partytüten aus Papi;4026477100209;1.95
10104;Partytüten Piratenflagge Joll;4026477101046;0.95
10108;Partytüten Prinzessin Miabell;4026477101084;0.95
10109;Partytüten Wichtel Tommi Tüpf;4026477101091;0.95
10113;Partytüten Feuerwehr Benny Br;4026477101138;0.95
10115;Partytüten Süße Tierchen     ;4026477101152;0.95
10116;Partytüten Pirat Pit Planke  ;4026477101169;0.95
10117;Partytüten Party Kids        ;4026477101176;0.95
10119;Partytüten Prinzessin Miabell;4026477101190;0.95
10122;Partytüten Hexe Mira Mistelzw;4026477101220;0.95
10123;Partytüten Indianer Yanuk    ;4026477101237;0.95
10124;Partytüten Nixe Sina Seestern;4026477101244;0.95
10125;Partytüten Fritz Flanke      ;4026477101251;0.95
10126;Partytüten Prinzessin Miabell;4026477101268;0.95
10127;Partytüten Pferd Mein Ponyhof;4026477101275;0.95
10128;Partytüten Einhorn           ;4026477101282;0.95
10129;Partytüten Bagger            ;4026477101299;0.95
10150;TapirElla Partytüten Einhorn ;4026477101503;0.95
10151;TapirElla Partytüten Rakete  ;4026477101510;0.95
10152;TapirElla Partytüten T-Rex   ;4026477101527;0.95
10153;TapirElla Partytüten- Pferde ;4026477101534;0.95
10154;TapirElla Partytüten- Balleri;4026477101541;0.95
10200;Himmel & Hölle Fritz Flanke- ;4026477102005;1.45
10201;Himmel & Hölle Mein Ponyhof- ;4026477102012;1.45
10202;Himmel & Hölle Prinzessin Mia;4026477102029;1.45
10231;Faltspiel Feuerwehrauto- 8 St;4026477102319;1.45
1025;Fensterbild A4 Dinosaurier   ;4026477010256;1.45
10261;Adventskalender zum Selbstbef;4026477102616;4.95
10262;TapirElla Adventskalender zum;4026477102623;4.95
10263;TapirElla Adventskalender zum;4026477102630;4.95
10314;TapirElla Tortenaufleger Einh;4026477103149;3.25
10315;Tortenaufleger Bagger        ;4026477103156;3.25
10316;TapirElla Tortenaufleger Pfer;4026477103163;3.25
10317;TapirElla Tortenaufleger T-Re;4026477103170;3.25
10318;TapirElla Tortenaufleger Rake;4026477103187;3.25
10319;TapirElla Tortenaufleger Schm;4026477103194;3.25
10320;TapirElla Tortenaufleger Fußb;4026477103200;3.25
10501;Haargummis- 15 Paar im Displa;4026477105013;0.85
10603;Lunchbox Fußballer Fritz Flan;4026477106034;3.25
10606;Lunchbox Lotte und Ihr Pony  ;4026477106065;3.25
10608;Lunchbox Süße Lotte          ;4026477106089;3.25
10613;Lunchbox Prinzessin Miabella ;4026477106133;3.25
10618;Lunchbox Paul der Polizist   ;4026477106188;3.25
10621;Lunchbox Traktor             ;4026477106218;3.25
10625;Lunchbox Delfine             ;4026477106256;3.25
10627;Lunchbox Bagger              ;4026477106270;3.25
