Artikelnummer;Artikelbezeichnung;EAN;Netto
23291;Regenschirm Sammy Samoa      ;4001190232918;7.15
23324;Regenschirm Pinky Queeny     ;4001190233243;7.15
23421;Regenschirm Frido            ;4001190234219;7.15
23769;Rucksack kl Kily Keeper      ;4001190237692;13.35
23795;Trinkflasche Kily Keeper     ;4001190237951;4.8
23797;Regenschirm Kily Keeper      ;4001190237975;7.15
23814;Brustbeutel Kily Keeper      ;4001190238149;6.7
24002;Rucksack klein Florentine    ;4001190240029;13.35
24216;Mini Rucksack Dra. OnTour    ;4001190242160;11.9
24218;Mini Rucksack Hase OnTour    ;4001190242184;11.9
24219;Mini Rucksack Hund OnTour    ;4001190242191;11.9
24427;Melamin Schüssel Semmel      ;4001190244270;2.4
24428;Melamin Tasse Semmel         ;4001190244287;2.4
24429;Melamin Teller Semmel        ;4001190244294;3.35
24430;Melamin Schüssel Lolo        ;4001190244300;2.4
24431;Melamin Tasse Lolo           ;4001190244317;2.4
24432;Melamin Teller Lolo          ;4001190244324;3.35
24436;Melamin Schüssel Schnuggi    ;4001190244362;2.4
24437;Melamin Tasse Schnuggi       ;4001190244379;2.4
24438;Melamin Teller Schnuggi      ;4001190244386;3.35
24439;Melamin Schüssel Rainbow     ;4001190244393;2.4
24440;Melamin Tasse Rainbow        ;4001190244409;2.4
24441;Melamin Teller Rainbow       ;4001190244416;3.35
24445;Trinkflasche Florentine      ;4001190244454;4.8
24448;Regenschirm Florentine       ;4001190244485;7.15
24452;Rucksack groß Florentine     ;4001190244522;14.5
24458;Brustbeutel Florentine       ;4001190244584;7.15
24472;Lunchbox Pinky Queeny        ;4001190244720;3.8
24473;Lunchbox Sammy Samoa         ;4001190244737;3.8
24474;Lunchbox Frido               ;4001190244744;3.8
24482;Trinkflasche Pinky Queeny    ;4001190244829;4.8
24483;Trinkflasche Sammy Samoa     ;4001190244836;4.8
24484;Trinkflasche Frido           ;4001190244843;4.8
24543;Trolley Pinky Queeny         ;4001190245437;33.35
24621;Mini Rucksack Ele. OnTour    ;4001190246212;11.9
24732;Spardose Sammy Samoa         ;4001190247325;3.8
24734;Spardose Kily Keeper         ;4001190247349;3.8
24735;Spardose Pinky Queeny        ;4001190247356;3.8
24736;Spardose Florentine          ;4001190247363;3.8
24738;Lunchbox Apfelherz           ;4001190247387;3.8
24739;Trinkflasche Apfelherz       ;4001190247394;4.8
24768;Trinkflasche Forest Grizzly. ;4001190247684;4.8
24780;Lunchbox Forest Grizzly      ;4001190247806;3.8
24781;Lunchbox Kily Keeper         ;4001190247813;3.8
24782;Lunchbox Florentine          ;4001190247820;3.8
24870;Besteckset Rainbow Rabbit    ;4001190248704;2.4
24871;Besteckset Schnuggi          ;4001190248711;2.4
24874;Besteckset Semmel Bunny      ;4001190248742;2.4
24875;Besteckset Lolo Lombardo     ;4001190248759;2.4
24901;Kulturtasche Kily Keeper     ;4001190249015;7.15
24913;Rucksack kl Pinky Queeny     ;4001190249138;14.5
24915;Brustbeutel Pinky Queeny     ;4001190249152;6.2
24916;Kulturtasche Pinky Queeny    ;4001190249169;7.15
24918;Rucksack Bär OnTour          ;4001190249183;14.5
24919;Rucksack Fuchs OnTour        ;4001190249190;14.5
24920;Rucksack Frosch OnTour       ;4001190249206;14.5
